HumanGeneID	HumanGeneName	MouseGeneID	MouseGeneName
ENSG00000165630	PRPF18	ENSMUSG00000039449	Prpf18
ENSG00000167281	RBFOX3	ENSMUSG00000025576	Rbfox3
ENSG00000168066	SF1	ENSMUSG00000024949	Sf1
ENSG00000169045	HNRNPH1	ENSMUSG00000007850	Hnrnph1
ENSG00000169249	ZRSR2	ENSMUSG00000031370	Zrsr2
ENSG00000169249	ZRSR2	ENSMUSG00000044068	Zrsr1
ENSG00000169813	HNRNPF	ENSMUSG00000042079	Hnrnpf
ENSG00000169976	SF3B5	ENSMUSG00000078348	Sf3b5
ENSG00000170144	HNRNPA3	ENSMUSG00000096156	Gm9242
ENSG00000174231	PRPF8	ENSMUSG00000020850	Prpf8
ENSG00000177733	HNRNPA0	ENSMUSG00000007836	Hnrnpa0
ENSG00000179172	HNRNPCL1	ENSMUSG00000060373	Hnrnpc
ENSG00000179950	PUF60	ENSMUSG00000002524	Puf60
ENSG00000182872	RBM10	ENSMUSG00000031060	Rbm10
ENSG00000182944	EWSR1	ENSMUSG00000009079	Ewsr1
ENSG00000183431	SF3A3	ENSMUSG00000028902	Sf3a3
ENSG00000184343	SRPK3	ENSMUSG00000002007	Srpk3
ENSG00000188529	SRSF10	ENSMUSG00000028676	Srsf10
ENSG00000189091	SF3B3	ENSMUSG00000033732	Sf3b3
ENSG00000196504	PRPF40A	ENSMUSG00000061136	Prpf40a
ENSG00000197451	HNRNPAB	ENSMUSG00000020358	Hnrnpab
ENSG00000204576	PRR3	ENSMUSG00000038500	Prr3
ENSG00000214753	HNRNPUL2	ENSMUSG00000071659	Hnrnpul2
ENSG00000263465	SRSF8	ENSMUSG00000060673	4930595M18Rik
ENSG00000160201	U2AF1	ENSMUSG00000061613	U2af1
