Event	Gene	Sig. RBPs	Sig. Gene Expression	Sig. Sex	Tissue	Dimorphic
1250	SMIM7	ENOX1(-0.05),FUS(0.14),HNRNPCL1(-0.15),HNRNPF(0.16),HNRNPH2(0.25),HNRNPL(0.11),HNRNPU(-0.33),IGF2BP3(-0.04),KHDRBS2(0.05),MBNL1(-0.12),MSI1(-0.08),PABPC1(0.1),PABPC3(0.03),PABPC4(-0.12),PABPC5(0.07),PCBP1(0.16),PCBP3(-0.05),PTBP1(-0.11),PUM2(0.27),RBFOX1(0.19),RBM28(0.09),RBM4(-0.07),RBM42(-0.1),RBM46(-0.13),RBM6(0.07),RBM8A(0.16),RBMS3(-0.06),RSF1(0.14),SAMD4A(0.17),SART3(-0.22),SF1(0.24),SNRNP70(0.08),SNRPA(-0.09),SRP54(0.28),SRSF1(-0.18),SRSF10(-0.18),SRSF9(-0.1),TARDBP(-0.12),U2AF2(0.4),YBX1(-0.21),ZNF638(-0.16)	0.45	0	Heart - Left Ventricle	No
33886	LETMD1	DAZAP1(-0.2),HNRNPA1(0.08),HNRNPA2B1(0.35),HNRNPC(-0.03),HNRNPCL1(0.21),HNRNPF(0.22),KHDRBS1(-0.39),MSI1(0.08),PCBP1(-0.23),RBM28(0.2),RBM41(0.33),RBM42(-0.14),RBM45(0.03),RBM5(-0.17),SRSF2(-0.18),SRSF9(-0.2),TARDBP(-0.24),YBX2(-0.06)	0.61	0	Heart - Left Ventricle	No
25214	ATG4B	ANKHD1(0.38),CNOT4(-0.22),CPEB2(-0.11),CPEB4(-0.13),DAZAP1(0.17),ENOX1(-0.08),ESRP2(0.06),HNRNPA1(-0.06),HNRNPCL1(-0.14),HNRNPF(0.23),HNRNPH1(-0.23),HNRNPK(0.31),HNRNPL(-0.14),IGF2BP2(-0.24),KHDRBS1(-0.27),MATR3(-0.54),MBNL1(-0.39),PABPC5(0.06),PCBP3(-0.06),PTBP1(-0.13),PUM2(0.25),RALY(-0.14),RBM6(0.07),RBM8A(-0.21),RBMS3(0.06),RSF1(0.3),SAMD4A(0.11),SART3(0.25),SNRNP70(-0.12),SNRPA(0.14),SRP54(0.29),SRSF1(-0.12),SRSF10(0.23),SRSF9(-0.29),TUT1(-0.16),YBX2(-0.11),ZC3H14(0.22),ZCRB1(0.28),ZNF638(-0.19)	0.71	0	Heart - Left Ventricle	No
9210	TPGS2	A1CF(-0.04),ANKHD1(-0.21),CPEB2(-0.12),CPEB4(-0.12),HNRNPA2B1(0.34),HNRNPC(-0.04),IGF2BP2(0.39),IGF2BP3(-0.04),KHDRBS2(-0.03),MBNL1(-0.31),PABPC3(-0.08),PABPN1(-0.26),PCBP3(0.05),PUM2(0.36),RBM38(0.13),RBM6(0.1),RBMS1(-0.21),RBMS3(0.13),SFPQ(0.25),SRSF7(0.2),TUT1(0.14),YBX2(-0.13),ZC3H14(0.38),ZCRB1(0.17),ZNF638(-0.2)	0.38	0	Heart - Left Ventricle	No
27328	ERI3	ANKHD1(-0.14),CPO(-0.03),FXR1(0.26),G3BP2(0.17),HNRNPC(0.04),HNRNPCL1(-0.41),HNRNPH2(0.19),IGF2BP3(-0.05),KHDRBS3(0.08),PABPC1(0.15),PABPC5(0.05),PCBP1(-0.16),PCBP2(-0.2),RBM38(-0.08),RBM8A(-0.14),SART3(0.21),SNRPA(0.15),SRSF1(-0.13),SRSF2(0.24),SRSF9(-0.14),ZC3H10(-0.11)	0.48	0	Heart - Left Ventricle	No
13034	CDC123	ANKHD1(0.24),CPEB4(-0.08),DAZAP1(0.1),ENOX1(0.06),FXR2(-0.22),HNRNPA2B1(0.23),HNRNPCL1(-0.12),HNRNPF(0.12),HNRNPL(-0.14),HNRNPU(-0.24),IGF2BP3(-0.04),KHDRBS1(-0.13),KHDRBS2(0.02),KHDRBS3(-0.04),MATR3(-0.27),MBNL1(0.09),MSI1(0.04),PABPC1(0.15),PABPC4(-0.1),PABPC5(0.04),QKI(0.2),RBM24(0.08),RBM38(-0.09),RBM4(-0.08),RBM41(-0.13),RBM42(-0.1),RBP1(-0.04),SART3(0.16),SF1(0.14),SRP54(0.26),SRSF1(-0.21),TARDBP(-0.1),YBX1(-0.19),YBX2(-0.06),ZCRB1(0.26)	0.55	0	Heart - Left Ventricle	No
28787	PSMD9	A1CF(-0.06),ANKHD1(-0.4),CPEB2(0.14),DAZAP1(0.37),FMR1(-0.19),FUS(0.24),FXR1(0.18),FXR2(-0.27),HNRNPA2B1(0.22),HNRNPC(0.07),HNRNPF(-0.22),HNRNPH2(0.19),HNRNPL(-0.44),IGF2BP3(-0.05),KHDRBS1(-0.23),KHDRBS3(0.07),LIN28A(0.03),MBNL1(-0.19),PABPC4(0.13),PABPC5(0.1),PPRC1(0.23),PUM2(0.75),RBM24(0.16),RBM28(0.17),RBM3(-0.1),RBM4(0.11),RBM41(0.2),RBM46(-0.12),RBM5(0.16),RBM8A(-0.16),RBMS1(-0.22),RBMS3(0.14),RSF1(0.29),SAMD4A(-0.14),SFPQ(-0.12),SRP54(0.2),SRSF1(0.12),TARDBP(-0.17),TIA1(-0.2),TUT1(-0.1),ZC3H10(0.1),ZC3H14(-0.34),ZNF638(-0.19)	0.29	-0.07	Heart - Left Ventricle	No
13605	SEC11A	A1CF(-0.05),ENOX1(-0.08),ESRP2(0.06),FMR1(-0.17),FXR1(-0.35),HNRNPA1(0.08),HNRNPA2B1(0.4),HNRNPC(0.03),HNRNPCL1(0.23),HNRNPF(0.47),HNRNPK(0.39),KHDRBS2(0.03),KHDRBS3(-0.11),MATR3(-0.2),MSI1(0.12),PABPC1(0.11),PABPC3(-0.05),PABPN1(-0.13),PCBP1(-0.23),PCBP2(-0.24),PPRC1(-0.36),PUM2(0.2),RALY(-0.24),RBM28(0.09),RBM38(-0.25),RBM41(0.4),RBM42(-0.18),RBM5(0.34),RBMS1(-0.24),SF1(-0.29),SFPQ(0.19),SRP54(0.36),SRSF1(-0.23),SRSF2(0.25),SRSF9(-0.18),TARDBP(-0.27),TIA1(-0.23),TUT1(-0.12),YBX1(0.19),YBX2(-0.09),ZC3H10(0.11),ZCRB1(0.14),ZNF638(-0.21)	0	0.06	Heart - Left Ventricle	No
31504	USP47	FUS(0.13),FXR2(-0.37),G3BP2(0.15),HNRNPF(0.17),HNRNPH2(-0.19),KHDRBS3(-0.09),LIN28A(0.04),PABPC1(-0.13),PABPC3(-0.05),PABPC4(0.12),PABPN1(-0.11),PCBP3(0.06),PPRC1(-0.15),PUM2(0.18),RBFOX1(-0.12),RBM28(0.2),RBM38(0.1),RBM4(-0.15),RBM46(0.25),RBM5(0.12),RBMS3(0.07),SART3(-0.36),SNRPA(-0.1),SRSF1(-0.14),SRSF7(-0.07),SRSF9(-0.22),TIA1(-0.14),U2AF2(0.22),ZC3H10(0.06),ZNF638(-0.2)	0.64	0.06	Heart - Left Ventricle	No
11149	MANBAL	ANKHD1(0.23),CNOT4(-0.27),CPO(0.04),FMR1(-0.15),FUS(0.17),FXR1(0.29),FXR2(-0.29),HNRNPA1(0.09),HNRNPC(-0.03),HNRNPCL1(0.16),HNRNPH1(0.11),HNRNPK(0.31),KHDRBS1(-0.35),KHDRBS2(0.03),MATR3(0.35),MBNL1(0.17),MSI1(0.06),PABPC3(-0.05),PCBP1(0.27),PPRC1(-0.15),PTBP1(-0.15),RBFOX1(-0.1),RBM24(0.2),RBM38(0.12),RBM4(0.14),RBM41(-0.18),RBM45(0.04),RBM46(0.17),RBM5(0.14),RBM6(-0.09),RBM8A(-0.28),RBMS1(-0.17),RBMS3(0.06),RSF1(-0.18),SART3(-0.17),SFPQ(-0.2),SNRPA(-0.1),SRSF9(0.15),YBX2(-0.1),ZCRB1(-0.5),ZNF638(-0.14)	0.45	-0.08	Heart - Left Ventricle	No
33177	SH3GLB2	CPEB2(-0.06),CPO(0.04),DAZAP1(0.2),FMR1(0.15),HNRNPA1L2(0.23),HNRNPCL1(0.27),HNRNPH1(-0.23),KHDRBS1(-0.34),MBNL1(-0.24),MSI1(0.05),PABPC3(-0.04),PABPC4(-0.13),RALY(-0.16),RBM45(-0.03),SNRPA(-0.1),SRP54(0.24),SRSF7(0.1),SRSF9(-0.26),ZC3H10(0.06),ZC3H14(0.33),ZNF638(-0.37)	0.27	0.09	Heart - Left Ventricle	No
27599	PEPD	DAZAP1(0.18),FUS(0.14),FXR1(-0.26),HNRNPA1(0.09),HNRNPA2B1(0.43),HNRNPF(-0.2),HNRNPK(-0.37),HNRNPL(-0.24),PABPC5(0.07),PABPN1(-0.22),PPRC1(0.16),PUM2(0.37),RALY(-0.28),RBFOX1(0.14),RBM24(0.13),RBM42(-0.11),RBM45(-0.04),RBM5(0.21),RBMS1(-0.25),SAMD4A(0.15),SNRNP70(-0.13),SRSF1(0.16),TUT1(-0.17),U2AF2(0.39),ZC3H10(0.09),ZCRB1(0.17),ZNF638(-0.35)	0.46	0	Heart - Left Ventricle	No
3738	CLNS1A	A1CF(-0.02),ANKHD1(-0.11),CNOT4(-0.21),CPEB2(-0.08),DAZAP1(0.2),ESRP2(0.03),FXR2(-0.2),HNRNPA1L2(0.16),HNRNPH1(0.13),HNRNPL(-0.15),HNRNPM(-0.16),IGF2BP2(-0.11),KHDRBS1(-0.23),KHDRBS3(-0.05),MATR3(0.19),MSI1(0.09),PABPC3(-0.06),PABPN1(-0.09),PTBP1(-0.11),PUM2(0.18),RBFOX1(0.09),RBM38(-0.08),RBM42(-0.06),RBM5(0.16),RBMS1(-0.29),RSF1(0.17),SART3(0.17),SNRNP70(-0.1),SNRPA(0.08),SRP54(0.3),SRSF2(0.12),YBX1(-0.14),YBX2(-0.07),ZCRB1(0.18),ZNF638(-0.3)	0.54	0	Heart - Left Ventricle	No
30533	TBCB	A1CF(0.03),CNOT4(-0.26),CPEB4(-0.14),CPO(0.02),ENOX1(0.04),ESRP2(-0.02),FMR1(-0.13),FXR1(0.13),FXR2(-0.11),HNRNPA1(0.03),HNRNPC(0.02),HNRNPL(-0.14),HNRNPM(0.21),IGF2BP2(-0.07),KHDRBS1(-0.16),KHDRBS3(-0.05),LIN28A(0.03),PABPC1(0.14),PABPC3(-0.03),PABPN1(-0.14),PCBP1(0.11),PUM2(0.24),RALY(0.19),RBFOX1(0.07),RBM28(0.12),RBM38(0.05),RBM41(-0.12),RBM5(0.15),RBMS1(-0.13),RSF1(0.13),SAMD4A(0.09),SFPQ(-0.11),SNRPA(0.08),SRP54(0.29),SRSF1(-0.11),SRSF10(0.17),SRSF7(-0.06),SRSF9(-0.07),TIA1(-0.06),TUT1(-0.05),YBX2(-0.03),ZC3H14(-0.13)	0.38	0	Heart - Left Ventricle	No
12333	SPG7	A1CF(-0.05),ANKHD1(-0.24),CPEB2(-0.08),CPEB4(-0.06),DAZAP1(0.17),ENOX1(0.03),HNRNPA1(0.07),HNRNPA1L2(-0.15),HNRNPA2B1(0.14),HNRNPK(-0.24),HNRNPM(0.13),HNRNPU(-0.26),KHDRBS1(-0.17),MBNL1(-0.21),PABPC1(0.11),PABPC3(-0.05),PCBP1(0.14),PCBP2(-0.17),PUM2(0.29),RALY(-0.11),RBM46(-0.09),RBM5(0.09),SART3(0.17),SFPQ(0.14),SRSF1(-0.13),SRSF10(0.14),SRSF9(-0.16),TUT1(-0.1),U2AF2(0.25),YBX1(-0.2),YBX2(-0.08),ZNF638(-0.1)	0.58	0	Heart - Left Ventricle	No
4229	AKT2	A1CF(-0.04),ANKHD1(0.14),CNOT4(-0.19),CPEB2(-0.09),DAZAP1(0.21),ENOX1(0.06),ESRP2(-0.06),FMR1(-0.18),FUS(0.13),HNRNPA1(-0.07),HNRNPA1L2(-0.14),HNRNPC(-0.03),HNRNPCL1(0.22),HNRNPK(-0.23),KHDRBS1(-0.2),LIN28A(-0.05),PABPN1(-0.1),PCBP2(0.32),PCBP3(0.03),PPRC1(-0.11),PTBP1(-0.26),RALY(-0.1),RBM38(0.1),RBM4(-0.24),RBM41(-0.29),RBM6(0.08),RBMS1(0.13),RSF1(0.27),SAMD4A(-0.18),SART3(0.21),SRSF1(-0.11),SRSF7(-0.08),U2AF2(0.44),YBX1(-0.13),YBX2(-0.05),ZC3H14(0.15),ZCRB1(0.15)	0.45	0	Heart - Left Ventricle	No
34531	ZNF706	ANKHD1(-0.14),CNOT4(-0.17),CPEB4(-0.08),G3BP2(0.16),HNRNPA1L2(-0.1),HNRNPC(-0.03),HNRNPF(0.31),HNRNPK(0.49),HNRNPU(-0.19),KHDRBS1(-0.26),LIN28A(0.02),MBNL1(-0.12),PABPC3(-0.04),PCBP2(-0.14),PPRC1(-0.08),PTBP1(-0.29),PUM2(0.32),QKI(-0.22),RALY(-0.11),RBM24(0.25),RBM38(0.07),RBM4(-0.08),RBM41(0.27),RBM8A(-0.31),RBMS3(0.08),RBP1(0.03),SART3(0.14),SFPQ(0.1),SRSF1(-0.07),SRSF10(0.14),SRSF7(0.08),TARDBP(-0.21),TIA1(-0.14),YBX1(0.11),YBX2(-0.06),ZC3H10(0.08),ZC3H14(0.12)	0.2	0	Heart - Left Ventricle	No
31483	TOLLIP	ANKHD1(0.18),ESRP2(-0.03),FMR1(-0.14),FUS(0.18),G3BP2(-0.23),HNRNPA2B1(0.34),HNRNPC(0.05),HNRNPH1(0.12),HNRNPH2(0.24),HNRNPU(-0.22),KHDRBS2(-0.03),MBNL1(-0.23),MSI1(0.09),PABPC1(0.14),PABPC3(-0.05),PPRC1(-0.15),PUM2(0.56),RALY(-0.18),RBFOX1(0.14),RBM28(0.11),RBM42(-0.12),RBM46(-0.1),RBM6(-0.07),RSF1(-0.18),SAMD4A(0.19),SFPQ(-0.21),SNRPA(0.16),SRSF1(-0.12),SRSF2(0.19),TUT1(-0.22),YBX1(-0.14),YBX2(-0.12),ZC3H10(0.07),ZC3H14(-0.22)	0.59	0	Heart - Left Ventricle	No
8473	ARF3	A1CF(0.03),CPEB2(-0.09),CPO(-0.08),FMR1(-0.3),FUS(0.14),HNRNPC(0.07),HNRNPH2(0.58),HNRNPK(-0.49),HNRNPL(-0.25),IGF2BP3(0.03),KHDRBS1(-0.39),LIN28A(0.06),PABPC1(0.19),PABPC3(-0.06),PABPC4(-0.37),PCBP1(0.19),PUM2(0.35),RBFOX1(0.15),RBM24(0.15),RBM45(-0.03),RBM5(0.12),RBMS1(-0.13),RBP1(0.05),SNRPA(0.13),SRSF1(-0.33),SRSF7(-0.14),TIA1(-0.17),U2AF2(0.32),YBX1(-0.29),YBX2(-0.1),ZC3H14(0.2)	0.51	0	Heart - Left Ventricle	No
24430	PSMA6	A1CF(-0.03),ESRP2(0.02),FMR1(-0.11),FUS(0.08),HNRNPH1(0.07),HNRNPK(0.35),HNRNPM(0.09),HNRNPU(-0.18),IGF2BP3(-0.03),KHDRBS1(-0.17),MBNL1(-0.13),MSI1(0.06),PABPC3(-0.04),PABPN1(-0.07),PCBP2(-0.13),PPRC1(-0.12),PTBP1(-0.07),PUM2(0.1),RALY(-0.16),RBM24(0.1),RBM38(0.05),RBM45(0.02),RBM5(0.14),RBM8A(-0.18),RBMS1(-0.06),RBMS3(0.04),RBP1(-0.04),SART3(0.19),SNRNP70(-0.07),SRSF1(-0.06),SRSF10(0.12),SRSF2(-0.07),SRSF9(-0.1),TARDBP(-0.13),TUT1(-0.11),U2AF2(0.13),YBX1(-0.09),YBX2(-0.06),ZNF638(-0.19)	0.61	0	Heart - Left Ventricle	No
3433	PHYKPL	CPEB2(0.22),DAZAP1(0.24),FMR1(-0.22),HNRNPC(-0.04),HNRNPCL1(-0.21),HNRNPH1(0.14),HNRNPH2(0.52),PTBP1(-0.23),RALY(-0.36),RBM3(-0.13),RBM5(0.33),RBM6(-0.14),RSF1(0.26),SNRPA(0.23),SRSF2(0.21),TARDBP(-0.27),TUT1(-0.33),U2AF2(0.31),ZC3H10(0.11),ZC3H14(-0.54),ZNF638(-0.51)	0.31	0	Heart - Left Ventricle	No
33837	SNF8	ANKHD1(0.15),CPEB4(-0.08),CPO(0.02),FUS(0.09),HNRNPA1(0.05),HNRNPA2B1(0.13),HNRNPF(0.12),HNRNPM(0.22),HNRNPU(-0.29),IGF2BP2(-0.07),IGF2BP3(-0.03),KHDRBS1(-0.14),MATR3(-0.12),PABPC1(0.14),PABPC3(-0.03),PABPN1(-0.07),PCBP3(0.03),PPRC1(-0.07),PTBP1(-0.13),RALY(-0.09),RBM28(0.07),RBM38(-0.05),RBM42(-0.08),RBM8A(-0.15),RBP1(-0.04),SAMD4A(0.14),SART3(0.17),SNRPA(0.06),SRSF1(-0.18),TARDBP(-0.08),TIA1(0.12),TUT1(-0.1),YBX1(-0.11),YBX2(-0.07),ZCRB1(0.17),ZNF638(-0.17)	0.52	0	Heart - Left Ventricle	No
21401	SERGEF	ANKHD1(0.34),CPEB4(0.12),FMR1(-0.25),FXR1(-0.37),HNRNPA1(0.16),HNRNPA1L2(-0.23),MATR3(0.86),MBNL1(0.23),PABPN1(-0.19),RBM5(0.33),RBM8A(0.29),RBMS1(-0.25),RBMS3(-0.16),TARDBP(0.26),TIA1(-0.21)	0.25	0	Heart - Left Ventricle	No
3850	PACSIN2	CPO(0.04),DAZAP1(-0.21),FUS(0.15),FXR1(-0.24),FXR2(0.2),G3BP2(-0.12),HNRNPA2B1(0.51),HNRNPH1(-0.11),HNRNPM(-0.17),IGF2BP3(-0.03),KHDRBS2(0.04),LIN28A(-0.02),MATR3(-0.2),MSI1(0.06),PABPC1(0.18),PABPC3(-0.04),PABPC4(-0.16),PABPN1(-0.11),PCBP1(0.23),PUM2(0.18),RBM28(0.1),RBM41(0.26),RBM42(-0.26),RBM8A(-0.13),RBMS1(-0.29),RBP1(-0.03),RSF1(0.19),SART3(0.15),SF1(-0.28),SFPQ(0.13),SNRNP70(-0.09),SNRPA(-0.12),SRSF1(-0.09),SRSF10(0.22),SRSF2(-0.15),SRSF7(0.08),TARDBP(-0.11),TIA1(0.11),TUT1(-0.08),YBX2(-0.06),ZC3H14(0.14),ZNF638(-0.12)	0.41	0.05	Heart - Left Ventricle	No
28409	SPG20	ANKHD1(-0.43),CPEB2(0.09),DAZAP1(-0.24),ESRP2(0.04),FXR2(0.22),HNRNPH2(0.52),HNRNPL(-0.14),HNRNPU(0.23),IGF2BP3(-0.05),KHDRBS2(0.04),MSI1(0.11),PABPC1(0.21),PABPC3(-0.06),PABPC4(0.17),PCBP1(-0.21),PCBP3(0.05),RBFOX1(-0.2),RBM28(0.28),RBM3(-0.07),RBM41(0.26),RBM42(-0.15),RBM45(0.05),RBM46(-0.13),RBM8A(-0.32),RBMS1(-0.21),RBMS3(0.09),SAMD4A(-0.27),SART3(0.26),SF1(-0.26),SRSF10(0.35),SRSF9(-0.17),TARDBP(-0.18),YBX2(-0.07),ZC3H14(-0.25)	0.33	-0.11	Heart - Left Ventricle	No
1673	RBM39	A1CF(-0.03),CNOT4(-0.18),CPEB2(0.04),CPO(0.02),ESRP2(0.04),FMR1(-0.13),FXR1(-0.1),FXR2(-0.2),HNRNPA1(0.03),HNRNPA2B1(0.2),HNRNPCL1(0.21),HNRNPF(0.1),HNRNPH2(0.1),HNRNPK(0.44),HNRNPL(-0.17),HNRNPM(0.15),IGF2BP3(-0.03),KHDRBS1(-0.35),KHDRBS2(0.03),LIN28A(0.02),MATR3(-0.19),MBNL1(-0.1),MSI1(0.07),PABPC4(-0.22),PABPC5(0.03),PABPN1(-0.09),PUM2(-0.21),RBM24(0.18),RBM28(0.05),RBM42(-0.08),RBM5(0.06),RBM8A(-0.17),RBMS1(-0.25),RBMS3(0.06),RSF1(0.15),SAMD4A(0.08),SART3(0.27),SRSF10(0.22),SRSF9(-0.12),TARDBP(-0.14),TIA1(-0.1),YBX2(-0.08),ZC3H10(0.05),ZC3H14(0.23),ZCRB1(0.23),ZNF638(-0.14)	0.45	0	Heart - Left Ventricle	No
86	BRD9	A1CF(-0.07),CPO(-0.1),HNRNPA1(-0.1),HNRNPA2B1(0.32),HNRNPCL1(-0.23),HNRNPF(-0.36),HNRNPH1(-0.18),HNRNPH2(-0.32),HNRNPK(0.68),IGF2BP3(0.04),KHDRBS2(0.05),MBNL1(-0.36),PABPN1(-0.22),PCBP1(0.37),PUM2(0.68),QKI(-0.5),RBM28(0.23),RBM38(0.18),RBM4(-0.28),RBM41(-0.33),RBM46(0.21),RBMS1(-0.31),SFPQ(0.33),SRSF7(0.2),SRSF9(-0.4),TARDBP(0.23),U2AF2(0.27),YBX1(-0.32),YBX2(-0.13),ZC3H14(0.26),ZNF638(-0.33)	0.48	0	Heart - Left Ventricle	No
18545	RDH11	FMR1(-0.25),FUS(0.2),HNRNPA1L2(-0.28),HNRNPA2B1(0.5),KHDRBS1(-0.35),KHDRBS2(0.07),MATR3(0.28),MBNL1(-0.28),PABPC1(0.21),PABPC3(-0.1),PABPC4(-0.22),PABPN1(-0.21),RALY(-0.17),RBM28(0.18),RBM41(0.33),RBM45(-0.05),RBMS1(-0.2),SF1(0.36),SFPQ(-0.23),SNRNP70(-0.15),SRSF10(0.3),SRSF2(-0.2),ZC3H14(0.4)	0.57	0	Heart - Left Ventricle	No
