ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
65	"ENSG00000231764.8"	"DLX6-AS1"	chr7	-	97011824	97012303	97012180	97012303	96965526	96969118
66	"ENSG00000244301.5"	"AOX3P"	chr2	+	200731030	200731175	200731030	200731105	200732486	200732539
67	"ENSG00000181929.11"	"PRKAG1"	chr12	-	49018523	49018748	49018731	49018748	49013061	49013110
68	"ENSG00000173531.15"	"MST1"	chr3	-	49686946	49687067	49686950	49687067	49686683	49686802
69	"ENSG00000099783.11"	"HNRNPM"	chr19	+	8465323	8465515	8465323	8465362	8466234	8466388
70	"ENSG00000099783.11"	"HNRNPM"	chr19	+	8463496	8463504	8463496	8463500	8463592	8463686
71	"ENSG00000163482.11"	"STK36"	chr2	+	218672740	218673017	218672740	218672913	218673624	218673765
72	"ENSG00000145808.8"	"ADAMTS19"	chr5	+	129526283	129526515	129526283	129526456	129527747	129527831
73	"ENSG00000174611.11"	"KY"	chr3	-	134629403	134629695	134629620	134629695	134627755	134627818
74	"ENSG00000119950.20"	"MXI1"	chr10	+	110244827	110244873	110244827	110244857	110279179	110279294
75	"ENSG00000075292.18"	"ZNF638"	chr2	+	71331765	71331875	71331765	71331865	71334500	71334596
76	"ENSG00000105223.19"	"PLD3"	chr19	+	40365552	40365930	40365552	40365585	40366418	40366510
77	"ENSG00000160410.14"	"SHKBP1"	chr19	+	40577556	40577709	40577556	40577630	40578153	40578212
78	"ENSG00000227028.6"	"SLC8A1-AS1"	chr2	+	39922848	39923018	39922848	39922889	40104908	40104962
79	"ENSG00000227028.6"	"SLC8A1-AS1"	chr2	+	40065357	40065855	40065357	40065472	40104908	40104962
80	"ENSG00000187097.12"	"ENTPD5"	chr14	-	74015823	74015930	74015847	74015930	74011090	74011150
81	"ENSG00000155465.18"	"SLC7A7"	chr14	-	22815313	22815451	22815319	22815451	22812899	22813440
82	"ENSG00000188517.14"	"COL25A1"	chr4	-	108846138	108846219	108846182	108846219	108845188	108845251
83	"ENSG00000103356.15"	"EARS2"	chr16	-	23553006	23553123	23553043	23553123	23552148	23552304
84	"ENSG00000231933.7"	"CTA-125H2.2"	chr22	-	25895097	25895268	25895110	25895268	25892436	25892640
85	"ENSG00000175676.15"	"GOLGA8EP"	chr15	+	23165789	23165875	23165789	23165865	23166296	23166388
86	"ENSG00000171928.13"	"TVP23B"	chr17	+	18790895	18791040	18790895	18790960	18797578	18797668
87	"ENSG00000105877.17"	"DNAH11"	chr7	+	21616208	21616307	21616208	21616292	21617618	21617777
88	"ENSG00000163214.20"	"DHX57"	chr2	-	38818872	38818960	38818876	38818960	38815520	38815655
89	"ENSG00000136960.12"	"ENPP2"	chr8	-	119626564	119626720	119626618	119626720	119621393	119621519
90	"ENSG00000136960.12"	"ENPP2"	chr8	-	119582417	119582602	119582429	119582602	119580115	119580167
91	"ENSG00000062485.18"	"CS"	chr12	-	56286496	56286645	56286594	56286645	56285915	56286023
92	"ENSG00000233217.2"	"MROH3P"	chr1	+	200958828	200959038	200958828	200958987	200960331	200960433
93	"ENSG00000233217.2"	"MROH3P"	chr1	+	200937179	200937334	200937179	200937331	200948091	200948236
94	"ENSG00000253649.3"	"PRSS51"	chr8	-	10498615	10498808	10498727	10498808	10497883	10497971
95	"ENSG00000185624.14"	"P4HB"	chr17	-	81859178	81859387	81859180	81859387	81855141	81855279
96	"ENSG00000186318.16"	"BACE1"	chr11	-	117295130	117295347	117295262	117295347	117293870	117293933
97	"ENSG00000186318.16"	"BACE1"	chr11	-	117295130	117295347	117295262	117295347	117293870	117294008
98	"ENSG00000186318.16"	"BACE1"	chr11	-	117295262	117295347	117295318	117295347	117293870	117294008
99	"ENSG00000186318.16"	"BACE1"	chr11	-	117295130	117295347	117295318	117295347	117293870	117294008
100	"ENSG00000166165.12"	"CKB"	chr14	-	103520468	103520592	103520501	103520592	103520121	103520311
101	"ENSG00000166165.12"	"CKB"	chr14	-	103522300	103522505	103522437	103522505	103522022	103522177
102	"ENSG00000145864.12"	"GABRB2"	chr5	-	161547888	161548124	161548058	161548124	161546566	161546795
103	"ENSG00000119681.11"	"LTBP2"	chr14	-	74502563	74502934	74502652	74502934	74501440	74501590
104	"ENSG00000187021.14"	"PNLIPRP1"	chr10	+	116600046	116600313	116600046	116600165	116601071	116601201
105	"ENSG00000109536.11"	"FRG1"	chr4	+	189941908	189942004	189941908	189942000	189943201	189943272
106	"ENSG00000144320.13"	"KIAA1715"	chr2	-	175995552	175995646	175995557	175995646	175993181	175993223
107	"ENSG00000011295.15"	"TTC19"	chr17	+	16000117	16000382	16000117	16000245	16001914	16002025
108	"ENSG00000162144.9"	"CYB561A3"	chr11	-	61352955	61353139	61352984	61353139	61350990	61351147
109	"ENSG00000197056.9"	"ZMYM1"	chr1	+	35093913	35094083	35093913	35094009	35095818	35095891
110	"ENSG00000221968.8"	"FADS3"	chr11	-	61879311	61879509	61879395	61879509	61878745	61878847
111	"ENSG00000221968.8"	"FADS3"	chr11	-	61876104	61876190	61876110	61876190	61875850	61875976
112	"ENSG00000221968.8"	"FADS3"	chr11	-	61876358	61876455	61876370	61876455	61876110	61876190
113	"ENSG00000164896.19"	"FASTK"	chr7	-	151078841	151079021	151078922	151079021	151078561	151078701
114	"ENSG00000270765.5"	"GAS2L2"	chr17	-	35750153	35750318	35750154	35750318	35750076	35750106
115	"ENSG00000166634.6"	"SERPINB12"	chr18	+	63558351	63558486	63558351	63558426	63559577	63559718
116	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213895393	213895518	213895426	213895518	213894662	213894743
117	"ENSG00000167751.12"	"KLK2"	chr19	+	50876871	50877045	50876871	50877008	50878403	50880567
118	"ENSG00000167751.12"	"KLK2"	chr19	+	50874720	50874966	50874720	50874880	50876471	50876758
119	"ENSG00000168421.12"	"RHOH"	chr4	+	40242713	40242846	40242713	40242834	40243177	40244764
120	"ENSG00000134644.15"	"PUM1"	chr1	-	31059203	31059577	31059298	31059577	31028795	31028864
121	"ENSG00000134644.15"	"PUM1"	chr1	-	30968296	30968492	30968353	30968492	30967166	30967310
122	"ENSG00000134644.15"	"PUM1"	chr1	-	30941921	30942123	30941997	30942123	30941150	30941272
123	"ENSG00000134644.15"	"PUM1"	chr1	-	30950126	30950261	30950132	30950261	30945345	30945483
124	"ENSG00000265480.5"	"KRT18P55"	chr17	-	28306975	28307382	28307031	28307382	28306093	28306210
125	"ENSG00000149115.13"	"TNKS1BP1"	chr11	-	57320064	57320712	57320078	57320712	57317817	57317887
126	"ENSG00000113645.14"	"WWC1"	chr5	+	168441681	168441849	168441681	168441834	168444493	168444585
127	"ENSG00000160856.20"	"FCRL3"	chr1	-	157697139	157697919	157697658	157697919	157696039	157696327
128	"ENSG00000160856.20"	"FCRL3"	chr1	-	157678594	157678856	157678742	157678856	157676480	157676768
129	"ENSG00000123352.17"	"SPATS2"	chr12	+	49366904	49367587	49366904	49367021	49371227	49371290
130	"ENSG00000061936.9"	"SFSWAP"	chr12	+	131714070	131714240	131714070	131714193	131714821	131714953
131	"ENSG00000103978.15"	"TMEM87A"	chr15	-	42272888	42273078	42272962	42273078	42272062	42272123
132	"ENSG00000005884.17"	"ITGA3"	chr17	+	50074143	50074292	50074143	50074280	50074447	50074534
133	"ENSG00000136861.17"	"CDK5RAP2"	chr9	-	120571973	120572041	120571976	120572041	120568320	120568388
134	"ENSG00000152240.12"	"HAUS1"	chr18	+	46105193	46105408	46105193	46105368	46118180	46118316
135	"ENSG00000161265.14"	"U2AF1L4"	chr19	-	35744011	35744145	35744069	35744145	35743808	35743904
136	"ENSG00000082153.17"	"BZW1"	chr2	+	200811545	200811990	200811545	200811946	200813207	200813281
137	"ENSG00000082153.17"	"BZW1"	chr2	+	200811545	200811990	200811545	200811727	200813207	200813281
138	"ENSG00000082153.17"	"BZW1"	chr2	+	200811545	200811946	200811545	200811727	200813207	200813281
139	"ENSG00000082153.17"	"BZW1"	chr2	+	200819981	200820120	200819981	200820018	200821182	200821305
140	"ENSG00000171634.16"	"BPTF"	chr17	+	67945408	67946325	67945408	67945896	67947725	67947808
141	"ENSG00000137822.12"	"TUBGCP4"	chr15	+	43403682	43403842	43403682	43403799	43404412	43404552
142	"ENSG00000137822.12"	"TUBGCP4"	chr15	+	43401715	43403799	43401715	43401850	43404412	43404552
143	"ENSG00000184343.10"	"SRPK3"	chrX	+	153783973	153784024	153783973	153784021	153784120	153784213
144	"ENSG00000136883.12"	"KIF12"	chr9	-	114097518	114097741	114097606	114097741	114097300	114097436
145	"ENSG00000089327.14"	"FXYD5"	chr19	+	35157420	35157617	35157420	35157501	35158343	35158400
146	"ENSG00000089327.14"	"FXYD5"	chr19	+	35166250	35166428	35166250	35166325	35169565	35169879
147	"ENSG00000186919.12"	"ZACN"	chr17	+	76080254	76081118	76080254	76080424	76081277	76081402
148	"ENSG00000103202.12"	"NME4"	chr16	+	398207	398394	398207	398385	398989	399123
149	"ENSG00000214043.7"	"RP5-944M2.3"	chr12	+	126457932	126458541	126457932	126458130	126462717	126462825
150	"ENSG00000214043.7"	"RP5-944M2.3"	chr12	+	126442480	126442663	126442480	126442588	126442965	126443027
151	"ENSG00000092199.17"	"HNRNPC"	chr14	-	21230957	21231072	21230996	21231072	21230318	21230366
152	"ENSG00000283245.1"	"SCHIP1"	chr3	+	159764442	159765138	159764442	159765099	159866162	159866281
153	"ENSG00000066294.14"	"CD84"	chr1	-	160553359	160553497	160553377	160553497	160552704	160552737
154	"ENSG00000116747.12"	"TROVE2"	chr1	+	193084578	193084698	193084578	193084657	193091650	193091777
155	"ENSG00000161249.20"	"DMKN"	chr19	-	35498597	35498763	35498715	35498763	35497646	35497681
156	"ENSG00000161249.20"	"DMKN"	chr19	-	35510370	35510435	35510378	35510435	35510183	35510252
157	"ENSG00000161249.20"	"DMKN"	chr19	-	35498597	35498763	35498715	35498763	35497219	35497538
158	"ENSG00000161249.20"	"DMKN"	chr19	-	35506478	35506665	35506509	35506665	35506125	35506185
159	"ENSG00000159199.13"	"ATP5G1"	chr17	+	48892816	48892910	48892816	48892840	48893408	48893456
160	"ENSG00000151914.19"	"DST"	chr6	-	56573678	56573887	56573731	56573887	56572746	56573064
161	"ENSG00000172531.14"	"PPP1CA"	chr11	-	67419407	67419597	67419443	67419597	67401067	67401199
162	"ENSG00000273000.5"	"KB-1572G7.2"	chr22	-	23686830	23686995	23686837	23686995	23683724	23683867
163	"ENSG00000169203.16"	"RP11-231C14.4"	chr16	-	29499997	29500274	29500142	29500274	29495478	29495607
164	"ENSG00000271425.6"	"NBPF10"	chr1	-	146144901	146144942	146144906	146144942	146144594	146144804
165	"ENSG00000143614.9"	"GATAD2B"	chr1	-	153817371	153817542	153817419	153817542	153816272	153816588
166	"ENSG00000087470.17"	"DNM1L"	chr12	+	32701414	32701562	32701414	32701472	32705824	32705863
167	"ENSG00000125970.11"	"RALY"	chr20	+	34072065	34072330	34072065	34072205	34073562	34073635
168	"ENSG00000198074.9"	"AKR1B10"	chr7	+	134538934	134539075	134538934	134539017	134541046	134541408
169	"ENSG00000103769.9"	"RAB11A"	chr15	+	65792446	65792772	65792446	65792649	65850863	65850957
170	"ENSG00000090621.13"	"PABPC4"	chr1	-	39561684	39561787	39561727	39561787	39560815	39561122
171	"ENSG00000090621.13"	"PABPC4"	chr1	-	39564422	39564542	39564470	39564542	39563835	39563922
172	"ENSG00000090621.13"	"PABPC4"	chr1	-	39564422	39564542	39564470	39564542	39563613	39563741
173	"ENSG00000090621.13"	"PABPC4"	chr1	-	39571096	39571349	39571233	39571349	39569862	39570002
174	"ENSG00000090621.13"	"PABPC4"	chr1	-	39564685	39564773	39564700	39564773	39564422	39564542
175	"ENSG00000175262.14"	"C1orf127"	chr1	-	10949623	10949814	10949701	10949814	10947642	10948844
176	"ENSG00000198826.10"	"ARHGAP11A"	chr15	+	32629594	32629762	32629594	32629675	32632978	32633108
177	"ENSG00000126091.19"	"ST3GAL3"	chr1	+	43899167	43899289	43899167	43899263	43930131	43930221
178	"ENSG00000126091.19"	"ST3GAL3"	chr1	+	43801281	43801545	43801281	43801541	43814890	43814933
179	"ENSG00000126091.19"	"ST3GAL3"	chr1	+	43736232	43736425	43736232	43736380	43814890	43814933
180	"ENSG00000126091.19"	"ST3GAL3"	chr1	+	43736232	43736425	43736232	43736380	43792101	43792149
181	"ENSG00000198015.12"	"MRPL42"	chr12	+	93470485	93470590	93470485	93470505	93476953	93477017
182	"ENSG00000120500.17"	"ARR3"	chrX	+	70269661	70269740	70269661	70269692	70269842	70269903
183	"ENSG00000092036.17"	"HAUS4"	chr14	-	22956745	22957094	22956915	22957094	22955099	22955176
184	"ENSG00000145555.14"	"MYO10"	chr5	-	16711120	16711245	16711159	16711245	16710907	16711022
185	"ENSG00000110046.12"	"ATG2A"	chr11	-	64902509	64902680	64902515	64902680	64902259	64902386
186	"ENSG00000134460.15"	"IL2RA"	chr10	-	6021477	6021693	6021504	6021693	6019869	6019941
187	"ENSG00000107815.7"	"C10orf2"	chr10	+	100990868	100991054	100990868	100991010	100993189	100994401
188	"ENSG00000119383.19"	"PTPA"	chr9	+	129120512	129120628	129120512	129120610	129123051	129123138
189	"ENSG00000106477.18"	"CEP41"	chr7	-	130404563	130404708	130404639	130404708	130402647	130402799
190	"ENSG00000110080.18"	"ST3GAL4"	chr11	+	126406472	126406557	126406472	126406545	126406942	126407023
191	"ENSG00000085433.15"	"WDR47"	chr1	-	109013819	109013925	109013840	109013925	109010915	109011718
192	"ENSG00000163939.18"	"PBRM1"	chr3	-	52563282	52563493	52563363	52563493	52561766	52561968
193	"ENSG00000131165.14"	"CHMP1A"	chr16	-	89647034	89647331	89647202	89647331	89646526	89646714
194	"ENSG00000131165.14"	"CHMP1A"	chr16	-	89649350	89649497	89649377	89649497	89647202	89647331
195	"ENSG00000281398.2"	"SNHG4"	chr5	+	139278326	139278496	139278326	139278408	139279050	139279129
196	"ENSG00000188186.10"	"LAMTOR4"	chr7	+	100149498	100149579	100149498	100149565	100153399	100153517
197	"ENSG00000205517.12"	"RGL3"	chr19	-	11415936	11416148	11415946	11416148	11406721	11406864
198	"ENSG00000103245.13"	"NARFL"	chr16	-	739539	739738	739642	739738	737185	737329
199	"ENSG00000122299.11"	"ZC3H7A"	chr16	-	11761405	11761511	11761467	11761511	11758430	11758539
200	"ENSG00000105402.7"	"NAPA"	chr19	-	47503392	47503502	47503422	47503502	47500632	47500749
201	"ENSG00000076604.14"	"TRAF4"	chr17	+	28748016	28748178	28748016	28748135	28748261	28748423
202	"ENSG00000076604.14"	"TRAF4"	chr17	+	28747212	28747391	28747212	28747264	28747842	28747947
203	"ENSG00000083168.9"	"KAT6A"	chr8	-	42049575	42049707	42049619	42049707	42048377	42049302
204	"ENSG00000136925.14"	"TSTD2"	chr9	-	97627305	97627612	97627397	97627612	97625680	97625997
205	"ENSG00000115365.11"	"LANCL1"	chr2	-	210476619	210476705	210476646	210476705	210476315	210476412
206	"ENSG00000205707.10"	"LYRM5"	chr12	+	25195215	25195341	25195215	25195337	25203919	25204007
207	"ENSG00000205707.10"	"LYRM5"	chr12	+	25203724	25203832	25203724	25203823	25203919	25204007
208	"ENSG00000073803.13"	"MAP3K13"	chr3	+	185428496	185429056	185428496	185428946	185437446	185437630
209	"ENSG00000073008.14"	"PVR"	chr19	+	44658741	44658900	44658741	44658765	44661291	44661323
210	"ENSG00000113552.15"	"GNPDA1"	chr5	-	142011848	142012041	142011911	142012041	142007798	142007900
211	"ENSG00000139197.10"	"PEX5"	chr12	+	7190361	7190569	7190361	7190524	7190887	7190923
212	"ENSG00000272736.5"	"RP11-799N11.1"	chr17	+	10406147	10406277	10406147	10406238	10533323	10533487
213	"ENSG00000204387.12"	"C6orf48"	chr6	+	31834907	31835200	31834907	31835057	31835410	31835451
214	"ENSG00000204387.12"	"C6orf48"	chr6	+	31835410	31835455	31835410	31835451	31837235	31837435
215	"ENSG00000167699.13"	"GLOD4"	chr17	-	778621	778744	778694	778744	776867	776988
216	"ENSG00000187033.9"	"SAMD7"	chr3	+	169915366	169915464	169915366	169915441	169919457	169919584
217	"ENSG00000182109.7"	"RP11-69E11.4"	chr1	-	39529015	39529164	39529054	39529164	39522279	39522505
218	"ENSG00000244560.6"	"RP4-800G7.2"	chr7	+	149285280	149285696	149285280	149285496	149287564	149287776
219	"ENSG00000100316.15"	"RPL3"	chr22	-	39319389	39319623	39319594	39319623	39318399	39318592
220	"ENSG00000140955.10"	"ADAD2"	chr16	+	84195068	84195194	84195068	84195158	84195295	84195446
221	"ENSG00000100867.14"	"DHRS2"	chr14	+	23644408	23644554	23644408	23644543	23644826	23644882
222	"ENSG00000100867.14"	"DHRS2"	chr14	+	23644408	23644543	23644408	23644495	23644826	23644882
223	"ENSG00000100867.14"	"DHRS2"	chr14	+	23644408	23644554	23644408	23644495	23644826	23644882
224	"ENSG00000162923.14"	"WDR26"	chr1	-	224431476	224431581	224431524	224431581	224424517	224424654
225	"ENSG00000162923.14"	"WDR26"	chr1	-	224431476	224431581	224431524	224431581	224424517	224424719
226	"ENSG00000196756.11"	"SNHG17"	chr20	-	38435026	38435333	38435196	38435333	38434503	38434626
227	"ENSG00000197217.12"	"ENTPD4"	chr8	-	23441568	23441723	23441592	23441723	23439748	23439915
228	"ENSG00000121766.15"	"ZCCHC17"	chr1	+	31346639	31346818	31346639	31346740	31348828	31348974
229	"ENSG00000176293.19"	"ZNF135"	chr19	+	58059968	58060398	58059968	58060035	58061579	58061706
230	"ENSG00000166747.12"	"AP1G1"	chr16	-	71769618	71769699	71769622	71769699	71765488	71765584
231	"ENSG00000166747.12"	"AP1G1"	chr16	-	71808504	71808832	71808762	71808832	71789278	71789482
232	"ENSG00000141522.11"	"ARHGDIA"	chr17	-	81869329	81869625	81869541	81869625	81869172	81869236
233	"ENSG00000254996.5"	"ANKHD1-EIF4EBP3"	chr5	+	140538085	140538261	140538085	140538234	140538918	140539083
234	"ENSG00000174837.14"	"ADGRE1"	chr19	+	6928144	6928310	6928144	6928211	6934986	6935078
235	"ENSG00000179044.15"	"EXOC3L1"	chr16	-	67188720	67188940	67188903	67188940	67187224	67187837
236	"ENSG00000144120.12"	"TMEM177"	chr2	+	119679166	119679617	119679166	119679225	119680831	119682118
237	"ENSG00000169981.10"	"ZNF35"	chr3	+	44648740	44648834	44648740	44648811	44650943	44651259
238	"ENSG00000135248.15"	"FAM71F1"	chr7	+	128713922	128714074	128713922	128714009	128716812	128716997
239	"ENSG00000135248.15"	"FAM71F1"	chr7	+	128713922	128714132	128713922	128714074	128716812	128716997
240	"ENSG00000135248.15"	"FAM71F1"	chr7	+	128713922	128714132	128713922	128714009	128716812	128716997
241	"ENSG00000125885.13"	"MCM8"	chr20	+	5950651	5951077	5950651	5951023	5952010	5952163
242	"ENSG00000167840.13"	"ZNF232"	chr17	-	5109393	5109868	5109710	5109868	5108925	5109052
243	"ENSG00000235257.8"	"ITGA9-AS1"	chr3	-	37818679	37818930	37818809	37818930	37808495	37808880
244	"ENSG00000235257.8"	"ITGA9-AS1"	chr3	-	37851423	37851492	37851446	37851492	37834678	37834767
245	"ENSG00000137656.11"	"BUD13"	chr11	-	116762552	116763266	116762954	116763266	116760734	116760952
246	"ENSG00000167207.11"	"NOD2"	chr16	+	50712193	50712401	50712193	50712373	50722621	50722705
247	"ENSG00000167207.11"	"NOD2"	chr16	+	50712193	50712637	50712193	50712373	50722621	50722705
248	"ENSG00000167207.11"	"NOD2"	chr16	+	50712193	50712637	50712193	50712401	50722621	50722705
249	"ENSG00000167207.11"	"NOD2"	chr16	+	50697139	50698039	50697139	50697316	50699487	50699954
250	"ENSG00000182919.14"	"C11orf54"	chr11	+	93741962	93742141	93741962	93742094	93747296	93747448
251	"ENSG00000182919.14"	"C11orf54"	chr11	+	93741962	93742141	93741962	93742066	93747296	93747448
252	"ENSG00000182919.14"	"C11orf54"	chr11	+	93741962	93742094	93741962	93742066	93747296	93747448
253	"ENSG00000082213.17"	"C5orf22"	chr5	+	31534271	31534417	31534271	31534325	31535743	31535893
254	"ENSG00000196998.17"	"WDR45"	chrX	-	49076644	49077911	49077836	49077911	49076429	49076524
255	"ENSG00000196998.17"	"WDR45"	chrX	-	49076405	49076524	49076429	49076524	49075865	49075945
256	"ENSG00000196998.17"	"WDR45"	chrX	-	49079750	49079902	49079789	49079902	49078040	49078112
257	"ENSG00000204371.11"	"EHMT2"	chr6	-	31884890	31885016	31884911	31885016	31884644	31884799
258	"ENSG00000221978.11"	"CCNL2"	chr1	-	1392678	1392803	1392789	1392803	1390765	1390865
259	"ENSG00000111596.11"	"CNOT2"	chr12	+	70327506	70327715	70327506	70327700	70329422	70329570
260	"ENSG00000111596.11"	"CNOT2"	chr12	+	70344127	70344239	70344127	70344228	70346179	70346324
261	"ENSG00000107099.15"	"DOCK8"	chr9	+	368017	368300	368017	368135	370229	370300
