ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
51	"ENSG00000177414.13"	"UBE2U"	chr1	+	64267011	64267368	64267023	64267368	64260602	64260694
52	"ENSG00000135413.8"	"LACRT"	chr12	-	54631737	54631839	54631737	54631806	54632240	54632381
53	"ENSG00000161609.9"	"CCDC155"	chr19	+	49409752	49409875	49409758	49409875	49409195	49409283
54	"ENSG00000161609.9"	"CCDC155"	chr19	+	49391680	49391781	49391685	49391781	49390788	49390926
55	"ENSG00000184182.18"	"UBE2F"	chr2	+	238016532	238016633	238016565	238016633	237994743	237994809
56	"ENSG00000112186.11"	"CAP2"	chr6	+	17539268	17539458	17539325	17539458	17507168	17507312
57	"ENSG00000168724.14"	"DNAJC21"	chr5	+	34945721	34945803	34945760	34945803	34944866	34945025
58	"ENSG00000166448.14"	"TMEM130"	chr7	-	98846487	98848244	98846487	98848208	98848582	98848695
59	"ENSG00000127616.17"	"SMARCA4"	chr19	+	11041297	11041560	11041306	11041560	11034913	11035132
60	"ENSG00000127616.17"	"SMARCA4"	chr19	+	11041297	11041560	11041306	11041560	11039457	11039553
61	"ENSG00000127616.17"	"SMARCA4"	chr19	+	11058254	11058363	11058257	11058363	11041297	11041560
62	"ENSG00000090989.17"	"EXOC1"	chr4	+	55892614	55892711	55892634	55892711	55891314	55891422
63	"ENSG00000064270.12"	"ATP2C2"	chr16	+	84410679	84410765	84410703	84410765	84410567	84410603
64	"ENSG00000103168.16"	"TAF1C"	chr16	-	84183243	84183333	84183243	84183328	84183409	84183507
65	"ENSG00000103168.16"	"TAF1C"	chr16	-	84179945	84180083	84179945	84180080	84180169	84180344
66	"ENSG00000103168.16"	"TAF1C"	chr16	-	84183409	84183531	84183409	84183507	84183696	84183778
67	"ENSG00000103168.16"	"TAF1C"	chr16	-	84184850	84185060	84184850	84184989	84186900	84187045
68	"ENSG00000164690.7"	"SHH"	chr7	-	155800457	155800667	155800457	155800597	155806295	155806557
69	"ENSG00000127564.16"	"PKMYT1"	chr16	-	2976663	2977031	2976663	2976824	2979647	2979912
70	"ENSG00000127564.16"	"PKMYT1"	chr16	-	2973137	2973253	2973137	2973215	2973999	2974157
71	"ENSG00000127564.16"	"PKMYT1"	chr16	-	2973137	2973445	2973137	2973215	2973999	2974157
72	"ENSG00000127564.16"	"PKMYT1"	chr16	-	2973137	2973445	2973137	2973253	2973999	2974157
73	"ENSG00000143036.16"	"SLC44A3"	chr1	+	94867330	94867417	94867333	94867417	94864742	94864899
74	"ENSG00000000419.12"	"DPM1"	chr20	-	50940864	50940955	50940864	50940933	50942030	50942126
75	"ENSG00000000419.12"	"DPM1"	chr20	-	50940864	50940955	50940864	50940933	50941104	50941209
76	"ENSG00000196132.11"	"MYT1"	chr20	+	64218829	64219035	64218910	64219035	64217066	64217281
77	"ENSG00000048162.20"	"NOP16"	chr5	-	176386839	176386943	176386839	176386909	176388234	176388343
78	"ENSG00000048162.20"	"NOP16"	chr5	-	176383945	176384374	176383945	176384283	176385220	176385327
79	"ENSG00000134042.12"	"MRO"	chr18	-	50806703	50806850	50806703	50806786	50809301	50809404
80	"ENSG00000196628.14"	"TCF4"	chr18	-	55257314	55257391	55257314	55257388	55259948	55260027
81	"ENSG00000196628.14"	"TCF4"	chr18	-	55350873	55351003	55350873	55351000	55403453	55403518
82	"ENSG00000196628.14"	"TCF4"	chr18	-	55279550	55279674	55279550	55279656	55350358	55350408
83	"ENSG00000187688.14"	"TRPV2"	chr17	+	16434858	16434969	16434889	16434969	16433573	16433698
84	"ENSG00000198848.12"	"CES1"	chr16	-	55810926	55811010	55810926	55811007	55812902	55813043
85	"ENSG00000204574.12"	"ABCF1"	chr6	+	30578072	30578202	30578075	30578202	30577817	30577913
86	"ENSG00000010810.17"	"FYN"	chr6	-	111740980	111741097	111740980	111741093	111780565	111780635
87	"ENSG00000198625.12"	"MDM4"	chr1	+	204537429	204537497	204537458	204537497	204532190	204532246
88	"ENSG00000182796.13"	"TMEM198B"	chr12	+	55832870	55833014	55832958	55833014	55831256	55831349
89	"ENSG00000182796.13"	"TMEM198B"	chr12	+	55832958	55833541	55833446	55833541	55831256	55831349
90	"ENSG00000149582.15"	"TMEM25"	chr11	+	118531774	118531871	118531777	118531871	118531201	118531234
91	"ENSG00000149582.15"	"TMEM25"	chr11	+	118532149	118532461	118532245	118532461	118531774	118531871
92	"ENSG00000149582.15"	"TMEM25"	chr11	+	118532096	118532461	118532149	118532461	118531774	118531871
93	"ENSG00000149582.15"	"TMEM25"	chr11	+	118532096	118532461	118532245	118532461	118531774	118531871
94	"ENSG00000149582.15"	"TMEM25"	chr11	+	118532149	118532461	118532409	118532461	118531777	118531871
95	"ENSG00000149582.15"	"TMEM25"	chr11	+	118534265	118534355	118534268	118534355	118534028	118534129
96	"ENSG00000198598.6"	"MMP17"	chr12	+	131849801	131850059	131849938	131850059	131845296	131845449
97	"ENSG00000165905.17"	"LARGE2"	chr11	+	45927748	45928069	45927919	45928069	45927314	45927593
98	"ENSG00000165905.17"	"LARGE2"	chr11	+	45926038	45926347	45926221	45926347	45924784	45924889
99	"ENSG00000165905.17"	"LARGE2"	chr11	+	45927314	45927593	45927444	45927593	45926710	45926871
100	"ENSG00000165194.15"	"PCDH19"	chrX	-	100341902	100342075	100341902	100342072	100350645	100350704
101	"ENSG00000152076.18"	"CCDC74B"	chr2	-	130142132	130142381	130142132	130142183	130143268	130143313
102	"ENSG00000152076.18"	"CCDC74B"	chr2	-	130142132	130142353	130142132	130142183	130143268	130143313
103	"ENSG00000152076.18"	"CCDC74B"	chr2	-	130142132	130142381	130142132	130142353	130143268	130143313
104	"ENSG00000169180.11"	"XPO6"	chr16	-	28106382	28106497	28106382	28106452	28107521	28107677
105	"ENSG00000169180.11"	"XPO6"	chr16	-	28097994	28098639	28097994	28098618	28101457	28101688
106	"ENSG00000164746.13"	"C7orf57"	chr7	+	48052699	48052923	48052747	48052923	48049879	48049977
107	"ENSG00000134419.15"	"RPS15A"	chr16	-	18788062	18788159	18788062	18788142	18788980	18789118
108	"ENSG00000134419.15"	"RPS15A"	chr16	-	18788062	18788159	18788062	18788105	18788980	18789118
109	"ENSG00000134419.15"	"RPS15A"	chr16	-	18788062	18788142	18788062	18788105	18788980	18789118
110	"ENSG00000108797.11"	"CNTNAP1"	chr17	+	42691136	42691293	42691152	42691293	42690738	42690942
111	"ENSG00000142657.20"	"PGD"	chr1	+	10400375	10400572	10400392	10400572	10399628	10399704
112	"ENSG00000115808.11"	"STRN"	chr2	-	36883931	36884075	36883931	36884065	36886715	36886826
113	"ENSG00000163531.15"	"NFASC"	chr1	+	204974567	204974823	204974656	204974823	204974178	204974290
114	"ENSG00000178623.11"	"GPR35"	chr2	+	240617089	240617393	240617203	240617393	240616387	240616511
115	"ENSG00000204787.8"	"REG1CP"	chr2	-	79137223	79137342	79137223	79137337	79137966	79138369
116	"ENSG00000118894.14"	"EEF2KMT"	chr16	-	5091793	5091938	5091793	5091895	5095374	5095514
117	"ENSG00000122136.13"	"OBP2A"	chr9	+	135548642	135548809	135548707	135548809	135547870	135547981
118	"ENSG00000122136.13"	"OBP2A"	chr9	+	135548642	135548809	135548658	135548809	135547870	135547981
119	"ENSG00000122136.13"	"OBP2A"	chr9	+	135548658	135548809	135548707	135548809	135547870	135547981
120	"ENSG00000131018.22"	"SYNE1"	chr6	-	152283977	152284184	152283977	152284172	152293587	152293749
121	"ENSG00000131018.22"	"SYNE1"	chr6	-	152398618	152398734	152398618	152398731	152399615	152399823
122	"ENSG00000131018.22"	"SYNE1"	chr6	-	152471596	152471765	152471596	152471670	152472300	152472413
123	"ENSG00000131018.22"	"SYNE1"	chr6	-	152321720	152321886	152321720	152321826	152323477	152323737
124	"ENSG00000129951.18"	"PLPPR3"	chr19	-	814433	814607	814433	814571	814691	814749
125	"ENSG00000169247.11"	"SH3TC2"	chr5	-	149006880	149007077	149006880	149007069	149008850	149009001
126	"ENSG00000169247.11"	"SH3TC2"	chr5	-	149047861	149048019	149047861	149047989	149052141	149052240
127	"ENSG00000169247.11"	"SH3TC2"	chr5	-	149042693	149042837	149042693	149042816	149044532	149044638
128	"ENSG00000078795.16"	"PKD2L2"	chr5	+	137907741	137907912	137907807	137907912	137906205	137906434
129	"ENSG00000078795.16"	"PKD2L2"	chr5	+	137892479	137892613	137892523	137892613	137890480	137890582
130	"ENSG00000078795.16"	"PKD2L2"	chr5	+	137892479	137892613	137892566	137892613	137890480	137890582
131	"ENSG00000078795.16"	"PKD2L2"	chr5	+	137892523	137892613	137892566	137892613	137890480	137890582
132	"ENSG00000185038.14"	"MROH2A"	chr2	+	233779344	233779452	233779346	233779452	233775723	233775757
133	"ENSG00000131781.12"	"FMO5"	chr1	-	147201151	147201504	147201151	147201343	147208851	147209051
134	"ENSG00000140265.12"	"ZSCAN29"	chr15	-	43366109	43366808	43366109	43366774	43368922	43369127
135	"ENSG00000245573.7"	"BDNF-AS"	chr11	+	27675296	27676140	27675576	27676140	27659170	27659228
136	"ENSG00000196263.7"	"ZNF471"	chr19	+	56524323	56530221	56524744	56530221	56518481	56518577
137	"ENSG00000141497.13"	"ZMYND15"	chr17	+	4744845	4744928	4744869	4744928	4744624	4744778
138	"ENSG00000175115.11"	"PACS1"	chr11	+	66219544	66219805	66219745	66219805	66216694	66216775
139	"ENSG00000148386.9"	"LCN9"	chr9	+	135665650	135665752	135665695	135665752	135665244	135665355
140	"ENSG00000181929.11"	"PRKAG1"	chr12	-	49005461	49005592	49005461	49005543	49005742	49005852
141	"ENSG00000181929.11"	"PRKAG1"	chr12	-	49005305	49005391	49005305	49005364	49005461	49005543
142	"ENSG00000181929.11"	"PRKAG1"	chr12	-	49005742	49005881	49005742	49005852	49013061	49013110
143	"ENSG00000173531.15"	"MST1"	chr3	-	49685011	49685089	49685011	49685085	49685261	49685382
144	"ENSG00000173531.15"	"MST1"	chr3	-	49687148	49687478	49687148	49687285	49687555	49687668
145	"ENSG00000147274.14"	"RBMX"	chrX	-	136877914	136878086	136877914	136877964	136879016	136879123
146	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879158	136879016	136879123	136879318	136879453
147	"ENSG00000163482.11"	"STK36"	chr2	+	218689858	218689956	218689885	218689956	218688696	218688876
148	"ENSG00000163482.11"	"STK36"	chr2	+	218696526	218696601	218696589	218696601	218694524	218694635
149	"ENSG00000163482.11"	"STK36"	chr2	+	218697853	218698001	218697902	218698001	218697462	218697610
150	"ENSG00000163482.11"	"STK36"	chr2	+	218673624	218673765	218673664	218673765	218672740	218672913
151	"ENSG00000132522.15"	"GPS2"	chr17	-	7313028	7313124	7313028	7313097	7313211	7313291
152	"ENSG00000096384.19"	"HSP90AB1"	chr6	+	44248616	44248776	44248629	44248776	44247086	44247195
153	"ENSG00000097021.19"	"ACOT7"	chr1	-	6282723	6282888	6282723	6282796	6294863	6294980
154	"ENSG00000265190.6"	"ANXA8"	chr10	-	47478532	47478741	47478532	47478627	47479797	47479888
155	"ENSG00000165138.17"	"ANKS6"	chr9	-	98756419	98756606	98756419	98756603	98768080	98768250
156	"ENSG00000105223.19"	"PLD3"	chr19	+	40366383	40366510	40366418	40366510	40365717	40365930
157	"ENSG00000105223.19"	"PLD3"	chr19	+	40365552	40365930	40365717	40365930	40348689	40348768
158	"ENSG00000105223.19"	"PLD3"	chr19	+	40366383	40366510	40366418	40366510	40365552	40365585
159	"ENSG00000128284.19"	"APOL3"	chr22	-	36149045	36149371	36149045	36149142	36160668	36160929
160	"ENSG00000160410.14"	"SHKBP1"	chr19	+	40578447	40578542	40578461	40578542	40578153	40578212
161	"ENSG00000160410.14"	"SHKBP1"	chr19	+	40578122	40578212	40578153	40578212	40577556	40577630
162	"ENSG00000160410.14"	"SHKBP1"	chr19	+	40578096	40578212	40578122	40578212	40577556	40577630
163	"ENSG00000160410.14"	"SHKBP1"	chr19	+	40578096	40578212	40578153	40578212	40577556	40577630
164	"ENSG00000160410.14"	"SHKBP1"	chr19	+	40590729	40590853	40590732	40590853	40588623	40588779
165	"ENSG00000160410.14"	"SHKBP1"	chr19	+	40590729	40590853	40590732	40590853	40590243	40590422
166	"ENSG00000160410.14"	"SHKBP1"	chr19	+	40582350	40582466	40582425	40582466	40580745	40580936
167	"ENSG00000160410.14"	"SHKBP1"	chr19	+	40590729	40590853	40590732	40590853	40589081	40589178
168	"ENSG00000227028.6"	"SLC8A1-AS1"	chr2	+	40213108	40213218	40213168	40213218	40209966	40210024
169	"ENSG00000114378.16"	"HYAL1"	chr3	-	50302056	50302623	50302056	50302205	50303465	50303573
170	"ENSG00000114378.16"	"HYAL1"	chr3	-	50302056	50302980	50302056	50302205	50303465	50303573
171	"ENSG00000114378.16"	"HYAL1"	chr3	-	50302056	50302980	50302056	50302623	50303465	50303573
172	"ENSG00000186714.12"	"CCDC73"	chr11	-	32653122	32653227	32653122	32653197	32653977	32654037
173	"ENSG00000169347.16"	"GP2"	chr16	-	20323815	20324256	20323815	20324061	20326337	20326467
174	"ENSG00000116754.13"	"SRSF11"	chr1	+	70249930	70250047	70249951	70250047	70246817	70246907
175	"ENSG00000103356.15"	"EARS2"	chr16	-	23529743	23529917	23529743	23529897	23532656	23532765
176	"ENSG00000134744.13"	"ZCCHC11"	chr1	-	52436754	52436978	52436754	52436975	52438219	52438335
177	"ENSG00000134744.13"	"ZCCHC11"	chr1	-	52436754	52436975	52436754	52436963	52438219	52438335
178	"ENSG00000134744.13"	"ZCCHC11"	chr1	-	52436754	52436978	52436754	52436963	52438219	52438335
179	"ENSG00000186594.13"	"MIR22HG"	chr17	-	1713855	1714045	1713855	1714014	1714370	1714453
180	"ENSG00000135083.14"	"CCNJL"	chr5	-	160280524	160280948	160280524	160280738	160311857	160311972
181	"ENSG00000231933.7"	"CTA-125H2.2"	chr22	-	25895110	25895370	25895110	25895268	25898383	25898441
182	"ENSG00000175676.15"	"GOLGA8EP"	chr15	+	23167324	23167482	23167329	23167482	23167139	23167240
183	"ENSG00000108819.10"	"PPP1R9B"	chr17	-	50140092	50140359	50140092	50140228	50141268	50141373
184	"ENSG00000163214.20"	"DHX57"	chr2	-	38855056	38855275	38855056	38855252	38856339	38856461
185	"ENSG00000146276.11"	"GABRR1"	chr6	-	89203434	89203488	89203434	89203485	89204595	89204694
186	"ENSG00000181523.12"	"SGSH"	chr17	-	80214614	80214765	80214614	80214679	80215032	80215138
187	"ENSG00000181523.12"	"SGSH"	chr17	-	80214614	80214783	80214614	80214765	80215032	80215138
188	"ENSG00000181523.12"	"SGSH"	chr17	-	80214614	80214783	80214614	80214679	80215032	80215138
189	"ENSG00000101473.16"	"ACOT8"	chr20	-	45843526	45843772	45843526	45843721	45844262	45844420
190	"ENSG00000101473.16"	"ACOT8"	chr20	-	45853922	45853984	45853922	45853979	45855158	45855292
191	"ENSG00000062485.18"	"CS"	chr12	-	56275995	56276195	56275995	56276143	56282419	56282608
192	"ENSG00000062485.18"	"CS"	chr12	-	56282859	56282991	56282859	56282907	56283791	56283857
193	"ENSG00000062485.18"	"CS"	chr12	-	56275001	56275131	56275001	56275048	56275995	56276195
194	"ENSG00000142632.16"	"ARHGEF19"	chr1	-	16202415	16202574	16202415	16202540	16204758	16204919
195	"ENSG00000108106.13"	"UBE2S"	chr19	-	55404287	55404478	55404287	55404401	55406814	55406962
196	"ENSG00000185624.14"	"P4HB"	chr17	-	81855452	81855586	81855452	81855505	81859180	81859387
197	"ENSG00000186318.16"	"BACE1"	chr11	-	117293870	117294008	117293870	117293933	117295262	117295347
198	"ENSG00000186318.16"	"BACE1"	chr11	-	117293870	117294008	117293870	117293933	117295130	117295347
199	"ENSG00000166165.12"	"CKB"	chr14	-	103522300	103522505	103522300	103522476	103522765	103522833
200	"ENSG00000187021.14"	"PNLIPRP1"	chr10	+	116598038	116598166	116598046	116598166	116597827	116597947
201	"ENSG00000187021.14"	"PNLIPRP1"	chr10	+	116594315	116594864	116594729	116594864	116592415	116592541
202	"ENSG00000187021.14"	"PNLIPRP1"	chr10	+	116594315	116596322	116594318	116596322	116592415	116592541
203	"ENSG00000187021.14"	"PNLIPRP1"	chr10	+	116594318	116596322	116596213	116596322	116592415	116592541
204	"ENSG00000187021.14"	"PNLIPRP1"	chr10	+	116594318	116596322	116596297	116596322	116592415	116592541
205	"ENSG00000187021.14"	"PNLIPRP1"	chr10	+	116594315	116596322	116596213	116596322	116592415	116592541
206	"ENSG00000187021.14"	"PNLIPRP1"	chr10	+	116594315	116596322	116596297	116596322	116592415	116592541
207	"ENSG00000187021.14"	"PNLIPRP1"	chr10	+	116596213	116596322	116596297	116596322	116592415	116592541
208	"ENSG00000176273.14"	"SLC35G1"	chr10	+	93898570	93898751	93898573	93898751	93893972	93894211
209	"ENSG00000011295.15"	"TTC19"	chr17	+	16002656	16002831	16002792	16002831	16001914	16002025
210	"ENSG00000096063.15"	"SRPK1"	chr6	-	35890894	35891041	35890894	35891013	35920467	35920528
211	"ENSG00000096063.15"	"SRPK1"	chr6	-	35890894	35891041	35890894	35891013	35904878	35904974
212	"ENSG00000162144.9"	"CYB561A3"	chr11	-	61353783	61353992	61353783	61353823	61356529	61356728
213	"ENSG00000176083.17"	"ZNF683"	chr1	-	26367592	26367797	26367592	26367647	26368457	26368582
214	"ENSG00000176083.17"	"ZNF683"	chr1	-	26368457	26368585	26368457	26368582	26372668	26372735
215	"ENSG00000197056.9"	"ZMYM1"	chr1	+	35111771	35111912	35111775	35111912	35110293	35110447
216	"ENSG00000221968.8"	"FADS3"	chr11	-	61875850	61876003	61875850	61875976	61876110	61876190
217	"ENSG00000162949.16"	"CAPN13"	chr2	-	30743382	30743579	30743382	30743535	30745722	30745734
218	"ENSG00000153944.10"	"MSI2"	chr17	+	57674917	57675126	57674971	57675126	57652098	57652161
219	"ENSG00000155254.12"	"MARVELD1"	chr10	+	97715728	97715985	97715859	97715985	97715320	97715405
220	"ENSG00000008382.15"	"MPND"	chr19	+	4357950	4358172	4358082	4358172	4357514	4357585
221	"ENSG00000008382.15"	"MPND"	chr19	+	4357252	4357421	4357339	4357421	4355096	4355173
222	"ENSG00000234646.6"	"RP4-753D10.3"	chr20	+	23038933	23039236	23039055	23039236	23038222	23038305
223	"ENSG00000164896.19"	"FASTK"	chr7	-	151078561	151078701	151078561	151078699	151078922	151079021
224	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213966070	213966284	213966070	213966258	213979310	213979419
225	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213832540	213832648	213832540	213832622	213839737	213839797
226	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213832540	213832648	213832540	213832622	213894662	213894743
227	"ENSG00000167751.12"	"KLK2"	chr19	+	50876471	50876758	50876647	50876758	50874720	50874880
228	"ENSG00000167751.12"	"KLK2"	chr19	+	50876871	50877045	50876884	50877045	50876471	50876758
229	"ENSG00000114480.12"	"GBE1"	chr3	-	81646391	81646504	81646391	81646482	81648855	81648991
230	"ENSG00000134644.15"	"PUM1"	chr1	-	30965981	30966278	30965981	30966197	30967166	30967310
231	"ENSG00000134644.15"	"PUM1"	chr1	-	30980061	30980166	30980061	30980163	30981311	30981405
232	"ENSG00000134644.15"	"PUM1"	chr1	-	30980061	30980178	30980061	30980166	30981311	30981405
233	"ENSG00000134644.15"	"PUM1"	chr1	-	30980061	30980178	30980061	30980163	30981311	30981405
234	"ENSG00000117114.19"	"ADGRL2"	chr1	+	81987259	81987341	81987288	81987341	81985258	81985355
235	"ENSG00000117114.19"	"ADGRL2"	chr1	+	81950188	81950482	81950386	81950482	81942968	81943769
236	"ENSG00000138161.13"	"CUZD1"	chr10	-	122836830	122837048	122836830	122836899	122837403	122837554
237	"ENSG00000100335.13"	"MIEF1"	chr22	+	39512231	39512494	39512317	39512494	39511848	39512026
238	"ENSG00000100335.13"	"MIEF1"	chr22	+	39509337	39509571	39509421	39509571	39504202	39504534
239	"ENSG00000106823.12"	"ECM2"	chr9	-	92514630	92515203	92514630	92515137	92517686	92517875
240	"ENSG00000143418.19"	"CERS2"	chr1	-	150968082	150968201	150968082	150968174	150968394	150968512
241	"ENSG00000166987.14"	"MBD6"	chr12	+	57525347	57526388	57526310	57526388	57524952	57525115
242	"ENSG00000166987.14"	"MBD6"	chr12	+	57524629	57524822	57524719	57524822	57524279	57524416
243	"ENSG00000186510.11"	"CLCNKA"	chr1	+	16028719	16028845	16028760	16028845	16028017	16028119
244	"ENSG00000186510.11"	"CLCNKA"	chr1	+	16032442	16032526	16032445	16032526	16032202	16032291
245	"ENSG00000186510.11"	"CLCNKA"	chr1	+	16024762	16024891	16024858	16024891	16023799	16023928
246	"ENSG00000113645.14"	"WWC1"	chr5	+	168467839	168467964	168467842	168467964	168464710	168464962
247	"ENSG00000113645.14"	"WWC1"	chr5	+	168464710	168464962	168464728	168464962	168460649	168460742
248	"ENSG00000160856.20"	"FCRL3"	chr1	-	157697139	157697424	157697139	157697329	157697658	157697919
249	"ENSG00000160856.20"	"FCRL3"	chr1	-	157695328	157695625	157695328	157695607	157696039	157696327
250	"ENSG00000152291.13"	"TGOLN2"	chr2	-	85321893	85322799	85321893	85322758	85324914	85324998
251	"ENSG00000136861.17"	"CDK5RAP2"	chr9	-	120460571	120460747	120460571	120460667	120467859	120467997
252	"ENSG00000136861.17"	"CDK5RAP2"	chr9	-	120470110	120470220	120470110	120470217	120471747	120471878
253	"ENSG00000232940.5"	"HCG25"	chr6	+	33250608	33250711	33250615	33250711	33249789	33249889
254	"ENSG00000232940.5"	"HCG25"	chr6	+	33251512	33251706	33251577	33251706	33250615	33250711
255	"ENSG00000161265.14"	"U2AF1L4"	chr19	-	35743154	35743208	35743154	35743205	35743295	35743345
256	"ENSG00000161265.14"	"U2AF1L4"	chr19	-	35744322	35744981	35744322	35744421	35745124	35745212
257	"ENSG00000161265.14"	"U2AF1L4"	chr19	-	35744322	35744738	35744322	35744421	35745124	35745187
258	"ENSG00000161265.14"	"U2AF1L4"	chr19	-	35742530	35742803	35742530	35742619	35743808	35743904
259	"ENSG00000105499.13"	"PLA2G4C"	chr19	-	48105332	48105444	48105332	48105413	48106521	48106561
260	"ENSG00000105499.13"	"PLA2G4C"	chr19	-	48061997	48062194	48061997	48062152	48067790	48067886
261	"ENSG00000143502.14"	"SUSD4"	chr1	-	223229196	223229394	223229196	223229388	223264629	223264818
262	"ENSG00000136108.14"	"CKAP2"	chr13	+	52460895	52460974	52460898	52460974	52456522	52456607
