ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
34	"ENSG00000103168.16"	"TAF1C"	chr16	-	84181327	84181663	84181327	84181463	84181591	84181663
35	"ENSG00000116774.11"	"OLFML3"	chr1	+	113980331	113982254	113980331	113980617	113980948	113982254
36	"ENSG00000173171.14"	"MTX1"	chr1	+	155210547	155212219	155210547	155210627	155212126	155212219
37	"ENSG00000048162.20"	"NOP16"	chr5	-	176388234	176388598	176388234	176388343	176388432	176388598
38	"ENSG00000196628.14"	"TCF4"	chr18	-	55228846	55232671	55228846	55229076	55232508	55232671
39	"ENSG00000196628.14"	"TCF4"	chr18	-	55228846	55232671	55228846	55229076	55232520	55232671
40	"ENSG00000196628.14"	"TCF4"	chr18	-	55227848	55228361	55227848	55228030	55228220	55228361
41	"ENSG00000182796.13"	"TMEM198B"	chr12	+	55832958	55833541	55832958	55833038	55833446	55833541
42	"ENSG00000182796.13"	"TMEM198B"	chr12	+	55834850	55836246	55834850	55835615	55836125	55836246
43	"ENSG00000182796.13"	"TMEM198B"	chr12	+	55830840	55831349	55830840	55831083	55831256	55831349
44	"ENSG00000182796.13"	"TMEM198B"	chr12	+	55832958	55833541	55832958	55833014	55833446	55833541
45	"ENSG00000125149.11"	"C16orf70"	chr16	+	67132445	67132911	67132445	67132525	67132816	67132911
46	"ENSG00000149582.15"	"TMEM25"	chr11	+	118531191	118531871	118531191	118531234	118531774	118531871
47	"ENSG00000149582.15"	"TMEM25"	chr11	+	118531191	118531871	118531191	118531234	118531777	118531871
48	"ENSG00000143793.12"	"C1orf35"	chr1	-	228102079	228102382	228102079	228102165	228102309	228102382
49	"ENSG00000143793.12"	"C1orf35"	chr1	-	228102309	228102560	228102309	228102382	228102477	228102560
50	"ENSG00000165905.17"	"LARGE2"	chr11	+	45926038	45926347	45926038	45926151	45926221	45926347
51	"ENSG00000165905.17"	"LARGE2"	chr11	+	45922820	45923167	45922820	45922964	45923057	45923167
52	"ENSG00000042317.16"	"SPATA7"	chr14	+	88437837	88438455	88437837	88437903	88438326	88438455
53	"ENSG00000042317.16"	"SPATA7"	chr14	+	88427629	88429463	88427629	88427696	88429347	88429463
54	"ENSG00000215845.10"	"TSTD1"	chr1	-	161037630	161038075	161037630	161037826	161037912	161038075
55	"ENSG00000134419.15"	"RPS15A"	chr16	-	18782967	18784823	18782967	18783102	18784737	18784823
56	"ENSG00000153246.12"	"PLA2R1"	chr2	-	159932005	159941992	159932005	159932298	159941745	159941992
57	"ENSG00000173812.10"	"EIF1"	chr17	+	41689777	41690189	41689777	41689941	41690087	41690189
58	"ENSG00000115649.15"	"CNPPD1"	chr2	-	219174777	219175108	219174777	219174906	219174987	219175108
59	"ENSG00000260596.5"	"DUX4"	chr4	+	190173773	190175284	190173773	190174250	190175192	190175284
60	"ENSG00000260596.5"	"DUX4"	chr4	+	190173773	190175284	190173773	190175056	190175192	190175284
61	"ENSG00000118894.14"	"EEF2KMT"	chr16	-	5090083	5090565	5090083	5090349	5090431	5090565
62	"ENSG00000131018.22"	"SYNE1"	chr6	-	152329729	152331890	152329729	152330993	152331347	152331890
63	"ENSG00000131018.22"	"SYNE1"	chr6	-	152133275	152135232	152133275	152133488	152135103	152135232
64	"ENSG00000131018.22"	"SYNE1"	chr6	-	152455885	152456044	152455885	152455916	152455918	152456044
65	"ENSG00000129951.18"	"PLPPR3"	chr19	-	814433	814749	814433	814571	814691	814749
66	"ENSG00000129951.18"	"PLPPR3"	chr19	-	814433	814749	814433	814607	814691	814749
67	"ENSG00000169247.11"	"SH3TC2"	chr5	-	149026859	149028718	149026859	149028554	149028676	149028718
68	"ENSG00000128191.14"	"DGCR8"	chr22	+	20089668	20090258	20089668	20089811	20089975	20090258
69	"ENSG00000073060.15"	"SCARB1"	chr12	-	124782682	124786503	124782682	124782811	124786356	124786503
70	"ENSG00000073060.15"	"SCARB1"	chr12	-	124782682	124786503	124782682	124782811	124786440	124786503
71	"ENSG00000140265.12"	"ZSCAN29"	chr15	-	43369595	43370062	43369595	43369602	43369605	43370062
72	"ENSG00000160460.15"	"SPTBN4"	chr19	+	40549188	40549413	40549188	40549398	40549399	40549413
73	"ENSG00000141497.13"	"ZMYND15"	chr17	+	4743766	4744107	4743766	4743847	4743990	4744107
74	"ENSG00000181929.11"	"PRKAG1"	chr12	-	49005305	49005543	49005305	49005364	49005461	49005543
75	"ENSG00000181929.11"	"PRKAG1"	chr12	-	49005305	49005543	49005305	49005391	49005461	49005543
76	"ENSG00000181929.11"	"PRKAG1"	chr12	-	49004506	49005018	49004506	49004633	49004963	49005018
77	"ENSG00000173531.15"	"MST1"	chr3	-	49686061	49686481	49686061	49686192	49686312	49686481
78	"ENSG00000173531.15"	"MST1"	chr3	-	49687148	49687478	49687148	49687285	49687363	49687478
79	"ENSG00000173531.15"	"MST1"	chr3	-	49687148	49687668	49687148	49687285	49687555	49687668
80	"ENSG00000173531.15"	"MST1"	chr3	-	49687148	49687668	49687148	49687478	49687555	49687668
81	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879453	136879016	136879158	136879318	136879453
82	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879453	136879016	136879123	136879318	136879453
83	"ENSG00000147274.14"	"RBMX"	chrX	-	136872267	136875168	136872267	136872345	136875085	136875168
84	"ENSG00000099783.11"	"HNRNPM"	chr19	+	8465323	8465515	8465323	8465362	8465479	8465515
85	"ENSG00000132522.15"	"GPS2"	chr17	-	7313028	7313291	7313028	7313124	7313211	7313291
86	"ENSG00000132522.15"	"GPS2"	chr17	-	7313028	7313291	7313028	7313097	7313211	7313291
87	"ENSG00000132522.15"	"GPS2"	chr17	-	7313567	7313988	7313567	7313721	7313905	7313988
88	"ENSG00000132522.15"	"GPS2"	chr17	-	7313567	7314159	7313567	7313988	7314079	7314159
89	"ENSG00000132522.15"	"GPS2"	chr17	-	7314487	7315119	7314487	7314597	7314958	7315119
90	"ENSG00000105223.19"	"PLD3"	chr19	+	40365552	40365930	40365552	40365585	40365717	40365930
91	"ENSG00000128284.19"	"APOL3"	chr22	-	36149045	36149371	36149045	36149142	36149258	36149371
92	"ENSG00000128284.19"	"APOL3"	chr22	-	36145472	36145599	36145472	36145499	36145576	36145599
93	"ENSG00000160410.14"	"SHKBP1"	chr19	+	40577157	40577441	40577157	40577284	40577395	40577441
94	"ENSG00000160410.14"	"SHKBP1"	chr19	+	40577395	40577630	40577395	40577441	40577556	40577630
95	"ENSG00000111261.13"	"MANSC1"	chr12	-	12343091	12343414	12343091	12343173	12343275	12343414
96	"ENSG00000188517.14"	"COL25A1"	chr4	-	108810720	108813929	108810720	108812256	108812703	108813929
97	"ENSG00000188517.14"	"COL25A1"	chr4	-	109301722	109302367	109301722	109302075	109302302	109302367
98	"ENSG00000105135.15"	"ILVBL"	chr19	-	15122692	15123030	15122692	15122804	15122891	15123030
99	"ENSG00000105135.15"	"ILVBL"	chr19	-	15116000	15116321	15116000	15116071	15116151	15116321
100	"ENSG00000105135.15"	"ILVBL"	chr19	-	15116407	15118015	15116407	15116522	15117880	15118015
101	"ENSG00000134440.11"	"NARS"	chr18	-	57602354	57602943	57602354	57602486	57602811	57602943
102	"ENSG00000134440.11"	"NARS"	chr18	-	57615640	57615975	57615640	57615730	57615816	57615975
103	"ENSG00000175676.15"	"GOLGA8EP"	chr15	+	23161094	23161454	23161094	23161133	23161406	23161454
104	"ENSG00000135298.13"	"ADGRB3"	chr6	+	69233033	69233416	69233033	69233160	69233289	69233416
105	"ENSG00000105877.17"	"DNAH11"	chr7	+	21894622	21894999	21894622	21894805	21894883	21894999
106	"ENSG00000163214.20"	"DHX57"	chr2	-	38854053	38855252	38854053	38854178	38855056	38855252
107	"ENSG00000136960.12"	"ENPP2"	chr8	-	119570704	119572250	119570704	119570841	119572175	119572250
108	"ENSG00000205863.9"	"C1QTNF9B"	chr13	-	23891098	23892061	23891098	23891511	23892025	23892061
109	"ENSG00000253649.3"	"PRSS51"	chr8	-	10497711	10497971	10497711	10497772	10497883	10497971
110	"ENSG00000166165.12"	"CKB"	chr14	-	103521817	103522177	103521817	103521950	103522022	103522177
111	"ENSG00000166165.12"	"CKB"	chr14	-	103522022	103522505	103522022	103522177	103522437	103522505
112	"ENSG00000166165.12"	"CKB"	chr14	-	103522022	103522505	103522022	103522177	103522300	103522505
113	"ENSG00000187021.14"	"PNLIPRP1"	chr10	+	116594315	116596322	116594315	116594864	116596213	116596322
114	"ENSG00000172354.9"	"GNB2"	chr7	+	100677497	100677818	100677497	100677660	100677751	100677818
115	"ENSG00000172354.9"	"GNB2"	chr7	+	100676692	100677415	100676692	100676799	100677351	100677415
116	"ENSG00000011295.15"	"TTC19"	chr17	+	16026539	16028786	16026539	16026702	16027373	16028786
117	"ENSG00000178031.16"	"ADAMTSL1"	chr9	+	18906691	18910947	18906691	18906912	18908441	18910947
118	"ENSG00000221968.8"	"FADS3"	chr11	-	61876358	61876963	61876358	61876455	61876865	61876963
119	"ENSG00000279457.3"	"FO538757.1"	chr1	-	187128	187287	187128	187267	187269	187287
120	"ENSG00000182004.12"	"SNRPE"	chr1	+	203861602	203862222	203861602	203861743	203862181	203862222
121	"ENSG00000164896.19"	"FASTK"	chr7	-	151077309	151077780	151077309	151077401	151077620	151077780
122	"ENSG00000164896.19"	"FASTK"	chr7	-	151077620	151078092	151077620	151077780	151077878	151078092
123	"ENSG00000164896.19"	"FASTK"	chr7	-	151076912	151077780	151076912	151077236	151077309	151077780
124	"ENSG00000164896.19"	"FASTK"	chr7	-	151076625	151077027	151076625	151076832	151076912	151077027
125	"ENSG00000164896.19"	"FASTK"	chr7	-	151076912	151077236	151076912	151077027	151077100	151077236
126	"ENSG00000270765.5"	"GAS2L2"	chr17	-	35750076	35750318	35750076	35750106	35750153	35750318
127	"ENSG00000270765.5"	"GAS2L2"	chr17	-	35750076	35750318	35750076	35750106	35750154	35750318
128	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213915934	213916099	213915934	213915978	213916072	213916099
129	"ENSG00000167751.12"	"KLK2"	chr19	+	50876471	50877008	50876471	50876758	50876871	50877008
130	"ENSG00000157060.15"	"SHCBP1L"	chr1	-	182939175	182939553	182939175	182939394	182939466	182939553
131	"ENSG00000177954.11"	"RPS27"	chr1	+	153990762	153991034	153990762	153990802	153990913	153991034
132	"ENSG00000006042.11"	"TMEM98"	chr17	+	32931326	32931659	32931326	32931402	32931474	32931659
133	"ENSG00000100335.13"	"MIEF1"	chr22	+	39503695	39503877	39503695	39503722	39503810	39503877
134	"ENSG00000143418.19"	"CERS2"	chr1	-	150967391	150967714	150967391	150967484	150967663	150967714
135	"ENSG00000143418.19"	"CERS2"	chr1	-	150966755	150967202	150966755	150966862	150967073	150967202
136	"ENSG00000166987.14"	"MBD6"	chr12	+	57524028	57524416	57524028	57524092	57524279	57524416
137	"ENSG00000160856.20"	"FCRL3"	chr1	-	157697139	157697919	157697139	157697424	157697658	157697919
138	"ENSG00000160856.20"	"FCRL3"	chr1	-	157697139	157697919	157697139	157697329	157697658	157697919
139	"ENSG00000213316.9"	"LTC4S"	chr5	+	179795583	179795856	179795583	179795683	179795785	179795856
140	"ENSG00000152291.13"	"TGOLN2"	chr2	-	85326507	85327685	85326507	85326804	85326978	85327685
141	"ENSG00000005884.17"	"ITGA3"	chr17	+	50075458	50075735	50075458	50075526	50075598	50075735
142	"ENSG00000170421.12"	"KRT8"	chr12	-	52900587	52901219	52900587	52900683	52901158	52901219
143	"ENSG00000170421.12"	"KRT8"	chr12	-	52900587	52902072	52900587	52901219	52901863	52902072
144	"ENSG00000161265.14"	"U2AF1L4"	chr19	-	35744322	35744738	35744322	35744421	35744625	35744738
145	"ENSG00000161265.14"	"U2AF1L4"	chr19	-	35743154	35743345	35743154	35743208	35743295	35743345
146	"ENSG00000161265.14"	"U2AF1L4"	chr19	-	35743154	35743345	35743154	35743205	35743295	35743345
147	"ENSG00000161265.14"	"U2AF1L4"	chr19	-	35744322	35745187	35744322	35744738	35745124	35745187
148	"ENSG00000161265.14"	"U2AF1L4"	chr19	-	35742528	35743904	35742528	35742803	35743808	35743904
149	"ENSG00000161265.14"	"U2AF1L4"	chr19	-	35744069	35744421	35744069	35744145	35744322	35744421
150	"ENSG00000161265.14"	"U2AF1L4"	chr19	-	35744322	35745187	35744322	35744421	35745124	35745187
151	"ENSG00000171634.16"	"BPTF"	chr17	+	67893369	67893725	67893369	67893678	67893679	67893725
152	"ENSG00000267272.5"	"LINC01140"	chr1	+	87133613	87136669	87133613	87133718	87133964	87136669
153	"ENSG00000137822.12"	"TUBGCP4"	chr15	+	43401715	43403799	43401715	43401850	43403682	43403799
154	"ENSG00000136872.17"	"ALDOB"	chr9	-	101424842	101425042	101424842	101424900	101424937	101425042
155	"ENSG00000184343.10"	"SRPK3"	chrX	+	153781115	153781346	153781115	153781145	153781282	153781346
156	"ENSG00000184343.10"	"SRPK3"	chrX	+	153783973	153784213	153783973	153784021	153784120	153784213
157	"ENSG00000184343.10"	"SRPK3"	chrX	+	153783973	153784213	153783973	153784024	153784120	153784213
158	"ENSG00000123473.15"	"STIL"	chr1	-	47299904	47300152	47299904	47299968	47300109	47300152
159	"ENSG00000132530.16"	"XAF1"	chr17	+	6759255	6759718	6759255	6759519	6759661	6759718
160	"ENSG00000161642.17"	"ZNF385A"	chr12	-	54384427	54384723	54384427	54384564	54384699	54384723
161	"ENSG00000136883.12"	"KIF12"	chr9	-	114093228	114093497	114093228	114093333	114093406	114093497
162	"ENSG00000173809.16"	"TDRD12"	chr19	+	32826097	32826357	32826097	32826161	32826243	32826357
163	"ENSG00000134255.13"	"CEPT1"	chr1	+	111182186	111182318	111182186	111182297	111182298	111182318
164	"ENSG00000089327.14"	"FXYD5"	chr19	+	35166141	35166325	35166141	35166171	35166250	35166325
165	"ENSG00000103202.12"	"NME4"	chr16	+	398207	399123	398207	398385	398989	399123
166	"ENSG00000103202.12"	"NME4"	chr16	+	398207	399123	398207	398394	398989	399123
167	"ENSG00000092199.17"	"HNRNPC"	chr14	-	21210555	21211306	21210555	21211235	21211237	21211306
168	"ENSG00000092199.17"	"HNRNPC"	chr14	-	21263310	21263829	21263310	21263336	21263666	21263829
169	"ENSG00000161249.20"	"DMKN"	chr19	-	35499957	35500580	35499957	35500029	35500532	35500580
170	"ENSG00000161249.20"	"DMKN"	chr19	-	35510183	35510427	35510183	35510252	35510370	35510427
171	"ENSG00000161249.20"	"DMKN"	chr19	-	35510183	35510510	35510183	35510252	35510378	35510510
172	"ENSG00000161249.20"	"DMKN"	chr19	-	35500377	35500580	35500377	35500419	35500532	35500580
173	"ENSG00000161249.20"	"DMKN"	chr19	-	35498715	35499282	35498715	35498763	35498873	35499282
174	"ENSG00000133858.15"	"ZFC3H1"	chr12	-	71656342	71657301	71656342	71656563	71656884	71657301
175	"ENSG00000133858.15"	"ZFC3H1"	chr12	-	71611057	71611887	71611057	71611097	71611785	71611887
176	"ENSG00000159199.13"	"ATP5G1"	chr17	+	48893408	48895334	48893408	48893456	48895155	48895334
177	"ENSG00000260916.6"	"CCPG1"	chr15	-	55359538	55360944	55359538	55359690	55360839	55360944
178	"ENSG00000104679.10"	"R3HCC1"	chr8	+	23289865	23290469	23289865	23290219	23290334	23290469
179	"ENSG00000104679.10"	"R3HCC1"	chr8	+	23289865	23290469	23289865	23289925	23290051	23290469
180	"ENSG00000186567.12"	"CEACAM19"	chr19	+	44682566	44684359	44682566	44682620	44683433	44684359
181	"ENSG00000186567.12"	"CEACAM19"	chr19	+	44682566	44684359	44682566	44682620	44683436	44684359
182	"ENSG00000172531.14"	"PPP1CA"	chr11	-	67398721	67399163	67398721	67398856	67398939	67399163
183	"ENSG00000148444.15"	"COMMD3"	chr10	+	22318271	22319018	22318271	22318306	22318958	22319018
184	"ENSG00000148444.15"	"COMMD3"	chr10	+	22318271	22318713	22318271	22318306	22318652	22318713
185	"ENSG00000271425.6"	"NBPF10"	chr1	-	146144594	146144804	146144594	146144647	146144649	146144804
186	"ENSG00000100099.20"	"HPS4"	chr22	-	26465454	26466262	26465454	26465551	26466225	26466262
187	"ENSG00000100099.20"	"HPS4"	chr22	-	26466225	26468623	26466225	26466262	26468550	26468623
188	"ENSG00000224309.7"	"ANKRD30BP2"	chr21	+	13042778	13045270	13042778	13042952	13045162	13045270
189	"ENSG00000143126.7"	"CELSR2"	chr1	+	109271385	109271722	109271385	109271512	109271599	109271722
190	"ENSG00000143126.7"	"CELSR2"	chr1	+	109271216	109271722	109271216	109271296	109271385	109271722
191	"ENSG00000143126.7"	"CELSR2"	chr1	+	109272639	109273027	109272639	109272728	109272832	109273027
192	"ENSG00000143126.7"	"CELSR2"	chr1	+	109272277	109272728	109272277	109272405	109272639	109272728
193	"ENSG00000166598.13"	"HSP90B1"	chr12	+	103942526	103943319	103942526	103942796	103943073	103943319
194	"ENSG00000066056.13"	"TIE1"	chr1	+	43304850	43305343	43304850	43305165	43305232	43305343
195	"ENSG00000006712.14"	"PAF1"	chr19	-	39390068	39390289	39390068	39390161	39390259	39390289
196	"ENSG00000006712.14"	"PAF1"	chr19	-	39389479	39389761	39389479	39389546	39389639	39389761
197	"ENSG00000124466.8"	"LYPD3"	chr19	-	43463125	43463769	43463125	43463287	43463598	43463769
198	"ENSG00000164112.12"	"TMEM155"	chr4	-	121761537	121761892	121761537	121761695	121761829	121761892
199	"ENSG00000167302.10"	"TEPSIN"	chr17	-	81236979	81237459	81236979	81237071	81237386	81237459
200	"ENSG00000214140.10"	"PRCD"	chr17	+	76543802	76544370	76543802	76543932	76544231	76544370
201	"ENSG00000100055.20"	"CYTH4"	chr22	+	37311455	37312174	37311455	37311527	37312019	37312174
202	"ENSG00000148288.11"	"GBGT1"	chr9	-	133152952	133155312	133152952	133154261	133155177	133155312
203	"ENSG00000148288.11"	"GBGT1"	chr9	-	133152952	133155312	133152952	133154242	133155177	133155312
204	"ENSG00000148288.11"	"GBGT1"	chr9	-	133155900	133156065	133155900	133155936	133156014	133156065
205	"ENSG00000163002.12"	"NUP35"	chr2	+	183159487	183161680	183159487	183159652	183161053	183161680
206	"ENSG00000175197.11"	"DDIT3"	chr12	-	57517268	57517753	57517268	57517595	57517705	57517753
207	"ENSG00000175197.11"	"DDIT3"	chr12	-	57517268	57517753	57517268	57517424	57517705	57517753
208	"ENSG00000175197.11"	"DDIT3"	chr12	-	57517268	57517753	57517268	57517542	57517705	57517753
209	"ENSG00000175197.11"	"DDIT3"	chr12	-	57517268	57517753	57517268	57517438	57517705	57517753
210	"ENSG00000132361.16"	"CLUH"	chr17	-	2693899	2694276	2693899	2694039	2694122	2694276
211	"ENSG00000141458.12"	"NPC1"	chr18	-	23533354	23534559	23533354	23533517	23534445	23534559
212	"ENSG00000198105.12"	"ZNF248"	chr10	-	37828764	37833116	37828764	37831312	37833024	37833116
213	"ENSG00000184163.3"	"FAM132A"	chr1	-	1243953	1244275	1243953	1244105	1244190	1244275
214	"ENSG00000131051.21"	"RBM39"	chr20	-	35704667	35705330	35704667	35704746	35705224	35705330
215	"ENSG00000131051.21"	"RBM39"	chr20	-	35738967	35740887	35738967	35739017	35740823	35740887
216	"ENSG00000176919.11"	"C8G"	chr9	+	136946650	136946974	136946650	136946689	136946767	136946974
217	"ENSG00000205517.12"	"RGL3"	chr19	-	11416613	11417059	11416613	11416667	11416835	11417059
218	"ENSG00000205517.12"	"RGL3"	chr19	-	11416613	11417059	11416613	11416662	11416835	11417059
219	"ENSG00000049089.13"	"COL9A2"	chr1	-	40312058	40312479	40312058	40312112	40312455	40312479
220	"ENSG00000105402.7"	"NAPA"	chr19	-	47492014	47493493	47492014	47492119	47493415	47493493
221	"ENSG00000076604.14"	"TRAF4"	chr17	+	28747842	28748178	28747842	28747947	28748016	28748178
222	"ENSG00000139200.13"	"PIANP"	chr12	-	6693791	6695651	6693791	6695057	6695429	6695651
223	"ENSG00000221983.7"	"UBA52"	chr19	+	18574869	18575241	18574869	18574972	18575056	18575241
224	"ENSG00000221983.7"	"UBA52"	chr19	+	18574869	18575241	18574869	18574972	18575102	18575241
225	"ENSG00000112984.11"	"KIF20A"	chr5	+	138181421	138181511	138181421	138181448	138181502	138181511
226	"ENSG00000049768.14"	"FOXP3"	chrX	-	49256750	49257012	49256750	49256855	49256924	49257012
227	"ENSG00000049768.14"	"FOXP3"	chrX	-	49251333	49251765	49251333	49251483	49251663	49251765
228	"ENSG00000130787.13"	"HIP1R"	chr12	+	122860422	122860784	122860422	122860523	122860678	122860784
229	"ENSG00000130787.13"	"HIP1R"	chr12	+	122860046	122860210	122860046	122860077	122860147	122860210
230	"ENSG00000103355.13"	"PRSS33"	chr16	-	2783952	2785171	2783952	2784802	2785001	2785171
231	"ENSG00000218358.2"	"RAET1K"	chr6	-	150000852	150001668	150000852	150001128	150001350	150001668
232	"ENSG00000142185.16"	"TRPM2"	chr21	+	44391271	44391625	44391271	44391442	44391502	44391625
233	"ENSG00000183960.8"	"KCNH8"	chr3	+	19450105	19451404	19450105	19450305	19451154	19451404
234	"ENSG00000168883.19"	"USP39"	chr2	+	85648760	85649280	85648760	85648853	85649016	85649280
235	"ENSG00000184661.13"	"CDCA2"	chr8	+	25460239	25460554	25460239	25460300	25460383	25460554
236	"ENSG00000112425.13"	"EPM2A"	chr6	-	145686121	145686296	145686121	145686146	145686239	145686296
237	"ENSG00000112425.13"	"EPM2A"	chr6	-	145625311	145627693	145625311	145625726	145627489	145627693
238	"ENSG00000100316.15"	"RPL3"	chr22	-	39312883	39313310	39312883	39312984	39313190	39313310
239	"ENSG00000100867.14"	"DHRS2"	chr14	+	23639793	23643219	23639793	23639895	23643151	23643219
240	"ENSG00000100867.14"	"DHRS2"	chr14	+	23639793	23643219	23639793	23639895	23641665	23643219
241	"ENSG00000000971.15"	"CFH"	chr1	+	196740618	196742051	196740618	196740792	196741874	196742051
242	"ENSG00000235300.4"	"THRA1/BTR"	chr17	+	48294346	48294515	48294346	48294364	48294365	48294515
243	"ENSG00000196756.11"	"SNHG17"	chr20	-	38421005	38422241	38421005	38421098	38422091	38422241
244	"ENSG00000158887.15"	"MPZ"	chr1	-	161304734	161305977	161304734	161305289	161305533	161305977
245	"ENSG00000176293.19"	"ZNF135"	chr19	+	58066740	58069405	58066740	58067567	58068407	58069405
246	"ENSG00000077454.15"	"LRCH4"	chr7	-	100577085	100577389	100577085	100577154	100577272	100577389
247	"ENSG00000077454.15"	"LRCH4"	chr7	-	100576693	100577005	100576693	100576777	100576901	100577005
248	"ENSG00000184905.8"	"TCEAL2"	chrX	+	102125687	102126445	102125687	102125806	102126372	102126445
249	"ENSG00000166747.12"	"AP1G1"	chr16	-	71807800	71808150	71807800	71807838	71808014	71808150
250	"ENSG00000166747.12"	"AP1G1"	chr16	-	71808504	71808813	71808504	71808677	71808762	71808813
251	"ENSG00000105677.11"	"TMEM147"	chr19	+	35546671	35547240	35546671	35547029	35547118	35547240
252	"ENSG00000105677.11"	"TMEM147"	chr19	+	35546671	35547029	35546671	35546808	35546944	35547029
253	"ENSG00000141522.11"	"ARHGDIA"	chr17	-	81869329	81869625	81869329	81869406	81869541	81869625
254	"ENSG00000254996.5"	"ANKHD1-EIF4EBP3"	chr5	+	140538918	140542281	140538918	140539083	140542171	140542281
255	"ENSG00000179044.15"	"EXOC3L1"	chr16	-	67184685	67185057	67184685	67184810	67184901	67185057
256	"ENSG00000102119.10"	"EMD"	chrX	+	154379941	154380367	154379941	154380019	154380233	154380367
257	"ENSG00000129214.14"	"SHBG"	chr17	+	7630151	7630507	7630151	7630283	7630415	7630507
258	"ENSG00000161905.12"	"ALOX15"	chr17	-	4638926	4639132	4638926	4638972	4639050	4639132
259	"ENSG00000107929.14"	"LARP4B"	chr10	-	806913	813213	806913	808272	812920	813213
260	"ENSG00000167840.13"	"ZNF232"	chr17	-	5108925	5109868	5108925	5109052	5109710	5109868
261	"ENSG00000167840.13"	"ZNF232"	chr17	-	5108925	5109868	5108925	5109052	5109393	5109868
262	"ENSG00000184840.11"	"TMED9"	chr5	+	177593649	177594285	177593649	177593775	177594138	177594285
