ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
186	"ENSG00000103168.16"	"TAF1C"	chr16	-	84185479	84185583	84184850	84184989	84186900	84186989
187	"ENSG00000103168.16"	"TAF1C"	chr16	-	84184850	84184989	84183696	84183778	84186900	84187063
188	"ENSG00000103168.16"	"TAF1C"	chr16	-	84183075	84183149	84182201	84182440	84183243	84183333
189	"ENSG00000103168.16"	"TAF1C"	chr16	-	84184850	84184899	84183696	84183778	84186900	84187049
190	"ENSG00000103168.16"	"TAF1C"	chr16	-	84179945	84180083	84177853	84179851	84180169	84181186
191	"ENSG00000103168.16"	"TAF1C"	chr16	-	84183696	84183778	84183409	84183507	84184850	84184989
192	"ENSG00000103168.16"	"TAF1C"	chr16	-	84183696	84183778	84183409	84183507	84186900	84187020
193	"ENSG00000103168.16"	"TAF1C"	chr16	-	84179945	84180080	84177851	84179851	84180169	84180344
194	"ENSG00000103168.16"	"TAF1C"	chr16	-	84184850	84185060	84183409	84183507	84186900	84187045
195	"ENSG00000103168.16"	"TAF1C"	chr16	-	84184850	84185060	84183696	84183778	84186900	84187045
196	"ENSG00000241553.12"	"ARPC4"	chr3	+	9799878	9800067	9797658	9797777	9800184	9800296
197	"ENSG00000241553.12"	"ARPC4"	chr3	+	9803535	9803707	9801660	9801756	9803842	9804013
198	"ENSG00000112697.15"	"TMEM30A"	chr6	-	75267640	75267748	75265230	75265338	75284401	75284968
199	"ENSG00000234945.7"	"GTF3C2-AS1"	chr2	+	27340265	27340373	27337222	27337326	27342042	27342599
200	"ENSG00000023734.10"	"STRAP"	chr12	+	15883082	15883121	15882393	15882819	15883540	15883676
201	"ENSG00000023734.10"	"STRAP"	chr12	+	15883540	15883676	15882394	15882819	15889927	15890009
202	"ENSG00000023734.10"	"STRAP"	chr12	+	15900946	15901012	15899903	15900053	15902916	15903014
203	"ENSG00000033178.12"	"UBA6"	chr4	-	67624125	67624253	67623134	67623222	67624993	67625187
204	"ENSG00000033178.12"	"UBA6"	chr4	-	67633344	67633473	67631856	67631908	67634241	67634322
205	"ENSG00000164690.7"	"SHH"	chr7	-	155800457	155800597	155800049	155800245	155806295	155806557
206	"ENSG00000164690.7"	"SHH"	chr7	-	155800457	155800667	155800038	155800245	155806295	155806557
207	"ENSG00000127564.16"	"PKMYT1"	chr16	-	2975981	2976089	2975652	2975812	2976663	2977031
208	"ENSG00000168517.10"	"HEXIM2"	chr17	+	45162487	45162635	45161844	45162031	45162749	45162859
209	"ENSG00000168517.10"	"HEXIM2"	chr17	+	45162487	45162635	45160699	45160943	45162749	45162859
210	"ENSG00000168517.10"	"HEXIM2"	chr17	+	45162487	45162635	45161895	45161939	45162749	45162859
211	"ENSG00000111716.12"	"LDHB"	chr12	-	21657750	21657835	21654656	21654677	21737696	21737783
212	"ENSG00000111716.12"	"LDHB"	chr12	-	21656987	21657214	21654542	21654677	21657750	21657839
213	"ENSG00000141367.11"	"CLTC"	chr17	+	59647397	59647666	59644275	59644483	59648239	59648401
214	"ENSG00000141367.11"	"CLTC"	chr17	+	59658661	59658804	59655960	59656027	59660390	59660588
215	"ENSG00000141367.11"	"CLTC"	chr17	+	59687000	59687021	59685586	59685808	59690635	59690711
216	"ENSG00000157045.8"	"NTAN1"	chr16	-	15048077	15048099	15047854	15047920	15055890	15056039
217	"ENSG00000157045.8"	"NTAN1"	chr16	-	15044333	15044407	15041622	15041676	15047441	15047550
218	"ENSG00000157045.8"	"NTAN1"	chr16	-	15047996	15048099	15047854	15047920	15055890	15056064
219	"ENSG00000157045.8"	"NTAN1"	chr16	-	15047854	15047920	15047215	15047550	15055890	15055943
220	"ENSG00000169762.16"	"TAPT1"	chr4	-	16196657	16196723	16191360	16191523	16202461	16202582
221	"ENSG00000169762.16"	"TAPT1"	chr4	-	16170652	16170729	16166632	16166793	16174203	16174272
222	"ENSG00000169762.16"	"TAPT1"	chr4	-	16213767	16213898	16202461	16202580	16226258	16226541
223	"ENSG00000169762.16"	"TAPT1"	chr4	-	16190046	16190270	16188231	16188355	16191360	16191523
224	"ENSG00000169762.16"	"TAPT1"	chr4	-	16214439	16214562	16213767	16213898	16225873	16226060
225	"ENSG00000169762.16"	"TAPT1"	chr4	-	16202461	16202580	16191360	16191523	16226258	16226471
226	"ENSG00000143036.16"	"SLC44A3"	chr1	+	94825832	94825942	94824493	94824635	94827506	94827643
227	"ENSG00000143036.16"	"SLC44A3"	chr1	+	94820948	94821056	94820400	94820478	94824492	94824635
228	"ENSG00000143036.16"	"SLC44A3"	chr1	+	94820948	94821056	94820645	94820723	94824492	94824635
229	"ENSG00000143036.16"	"SLC44A3"	chr1	+	94892280	94892517	94891129	94891267	94894817	94895053
230	"ENSG00000139364.10"	"TMEM132B"	chr12	+	125327406	125327507	125326550	125326675	125349451	125349778
231	"ENSG00000113658.16"	"SMAD5"	chr5	+	136152674	136152758	136147831	136147906	136153591	136153729
232	"ENSG00000113658.16"	"SMAD5"	chr5	+	136147831	136147906	136133352	136133959	136153591	136153763
233	"ENSG00000113658.16"	"SMAD5"	chr5	+	136147831	136147906	136132846	136132962	136153591	136153763
234	"ENSG00000131873.5"	"CHSY1"	chr15	-	101186678	101186794	101178576	101178980	101187992	101188025
235	"ENSG00000113712.16"	"CSNK1A1"	chr5	-	149511793	149511872	149509878	149509953	149513069	149513221
236	"ENSG00000113712.16"	"CSNK1A1"	chr5	-	149529603	149529719	149525134	149525171	149550074	149550181
237	"ENSG00000113712.16"	"CSNK1A1"	chr5	-	149517793	149517877	149513069	149513209	149520289	149520388
238	"ENSG00000104687.12"	"GSR"	chr8	-	30692968	30693055	30689160	30689319	30696379	30696479
239	"ENSG00000104687.12"	"GSR"	chr8	-	30692968	30693055	30684087	30684199	30696379	30696479
240	"ENSG00000104687.12"	"GSR"	chr8	-	30689160	30689319	30684087	30684199	30692968	30693055
241	"ENSG00000104687.12"	"GSR"	chr8	-	30689160	30689319	30684087	30684199	30696379	30696479
242	"ENSG00000011426.10"	"ANLN"	chr7	+	36417079	36417190	36415757	36415884	36419243	36419479
243	"ENSG00000011426.10"	"ANLN"	chr7	+	36411058	36411166	36410513	36410704	36415757	36415783
244	"ENSG00000011426.10"	"ANLN"	chr7	+	36415757	36415884	36411058	36411166	36417079	36417190
245	"ENSG00000011426.10"	"ANLN"	chr7	+	36428306	36428360	36426915	36427028	36439203	36439290
246	"ENSG00000116774.11"	"OLFML3"	chr1	+	113979974	113980126	113979440	113979630	113980331	113980617
247	"ENSG00000000419.12"	"DPM1"	chr20	-	50941128	50941209	50940864	50940933	50942030	50942126
248	"ENSG00000000419.12"	"DPM1"	chr20	-	50942030	50942126	50941104	50941209	50945736	50945762
249	"ENSG00000000419.12"	"DPM1"	chr20	-	50941104	50941209	50940864	50940955	50942030	50942126
250	"ENSG00000000419.12"	"DPM1"	chr20	-	50941104	50941209	50940864	50940933	50942030	50942126
251	"ENSG00000106723.16"	"SPIN1"	chr9	+	88418849	88418951	88388443	88388538	88426381	88426591
252	"ENSG00000106723.16"	"SPIN1"	chr9	+	88426381	88426591	88388418	88388538	88448940	88448989
253	"ENSG00000106723.16"	"SPIN1"	chr9	+	88462495	88462749	88448940	88448989	88468371	88468477
254	"ENSG00000197410.12"	"DCHS2"	chr4	-	154331582	154331714	154329522	154329710	154332477	154333494
255	"ENSG00000197410.12"	"DCHS2"	chr4	-	154373919	154373955	154366209	154366441	154377252	154377444
256	"ENSG00000173171.14"	"MTX1"	chr1	+	155212126	155212219	155210547	155210627	155212384	155212567
257	"ENSG00000250033.5"	"SLC7A11-AS1"	chr4	+	138159807	138159892	138105394	138105791	138168716	138168818
258	"ENSG00000250033.5"	"SLC7A11-AS1"	chr4	+	138171532	138171706	138168716	138168818	138174471	138174607
259	"ENSG00000149679.11"	"CABLES2"	chr20	-	62394156	62394265	62393439	62393605	62394936	62395014
260	"ENSG00000146678.9"	"IGFBP1"	chr7	+	45891931	45892060	45890547	45890717	45892959	45893668
261	"ENSG00000196132.11"	"MYT1"	chr20	+	64207593	64208487	64205552	64205800	64211205	64211340
262	"ENSG00000196132.11"	"MYT1"	chr20	+	64223290	64223359	64223110	64223173	64227414	64227477
