ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
80	"ENSG00000168421.12"	"RHOH"	chr4	+	40200511	40200565	40212663	40212791	40196906	40197300	40242713	40242834
81	"ENSG00000168421.12"	"RHOH"	chr4	+	40218146	40218298	40235192	40235358	40196906	40197300	40242713	40242834
82	"ENSG00000168421.12"	"RHOH"	chr4	+	40212663	40212791	40235192	40235358	40196906	40197300	40242713	40242834
83	"ENSG00000168421.12"	"RHOH"	chr4	+	40212663	40212791	40218146	40218298	40196906	40197300	40242713	40242834
84	"ENSG00000198860.11"	"TSEN15"	chr1	+	184058160	184058240	184070615	184070732	184054727	184054863	184072156	184072298
85	"ENSG00000123352.17"	"SPATS2"	chr12	+	49371227	49371290	49454224	49454385	49366904	49367021	49460769	49461037
86	"ENSG00000123352.17"	"SPATS2"	chr12	+	49387053	49387137	49406472	49406565	49371227	49371290	49460769	49461037
87	"ENSG00000123352.17"	"SPATS2"	chr12	+	49387053	49387137	49441729	49441816	49371227	49371290	49460769	49461037
88	"ENSG00000123352.17"	"SPATS2"	chr12	+	49406472	49406565	49441729	49441816	49371227	49371290	49460769	49461037
89	"ENSG00000103978.15"	"TMEM87A"	chr15	-	42231191	42231260	42231843	42231915	42228711	42228820	42233212	42233306
90	"ENSG00000152240.12"	"HAUS1"	chr18	+	46122466	46122590	46123298	46123364	46105193	46105368	46124821	46124893
91	"ENSG00000152240.12"	"HAUS1"	chr18	+	46106704	46106833	46109646	46109784	46105193	46105368	46118180	46118316
92	"ENSG00000229981.7"	"LINC01435"	chr10	-	107901008	107901087	107947275	107947474	107873760	107873852	108040360	108040498
93	"ENSG00000229981.7"	"LINC01435"	chr10	-	107854434	107854483	107901008	107901087	107760822	107760875	108040360	108040498
94	"ENSG00000229981.7"	"LINC01435"	chr10	-	108053430	108053489	108058845	108058917	108043177	108043324	108070456	108070626
95	"ENSG00000132530.16"	"XAF1"	chr17	+	6760405	6760601	6762154	6762240	6758088	6758224	6770642	6770984
96	"ENSG00000132530.16"	"XAF1"	chr17	+	6759661	6759718	6759840	6759881	6758088	6758224	6760405	6760601
97	"ENSG00000132530.16"	"XAF1"	chr17	+	6759255	6759718	6759840	6759881	6758088	6758224	6760405	6760601
98	"ENSG00000132530.16"	"XAF1"	chr17	+	6758861	6758959	6759255	6759519	6758088	6758224	6759661	6759718
99	"ENSG00000214046.8"	"SMIM7"	chr19	-	16654034	16654125	16659394	16659447	16647095	16647261	16659958	16660000
100	"ENSG00000214046.8"	"SMIM7"	chr19	-	16655237	16655368	16659157	16659255	16654034	16654125	16659394	16659447
101	"ENSG00000134014.16"	"ELP3"	chr8	+	28097218	28097318	28099827	28099966	28093111	28093233	28106712	28106783
102	"ENSG00000092199.17"	"HNRNPC"	chr14	-	21236372	21236460	21262600	21262768	21233952	21234229	21263310	21263336
103	"ENSG00000092199.17"	"HNRNPC"	chr14	-	21234768	21234831	21236372	21236460	21233952	21234229	21263310	21263336
104	"ENSG00000092199.17"	"HNRNPC"	chr14	-	21234768	21234831	21262600	21262768	21233952	21234229	21263310	21263336
105	"ENSG00000161249.20"	"DMKN"	chr19	-	35505938	35505986	35509910	35509961	35505717	35505765	35510183	35510252
106	"ENSG00000161249.20"	"DMKN"	chr19	-	35506509	35506665	35507457	35507511	35506125	35506185	35508204	35508240
107	"ENSG00000161249.20"	"DMKN"	chr19	-	35505938	35506049	35509910	35509961	35505717	35505765	35510183	35510252
108	"ENSG00000161249.20"	"DMKN"	chr19	-	35506125	35506185	35507457	35507511	35505938	35505986	35508204	35508240
109	"ENSG00000161249.20"	"DMKN"	chr19	-	35506125	35506185	35508204	35508240	35505938	35505986	35509910	35509961
110	"ENSG00000161249.20"	"DMKN"	chr19	-	35506478	35506665	35508204	35508240	35506125	35506185	35509910	35509961
111	"ENSG00000186567.12"	"CEACAM19"	chr19	+	44666957	44667321	44671303	44671436	44662277	44662398	44671745	44671986
112	"ENSG00000169203.16"	"RP11-231C14.4"	chr16	-	29499997	29500083	29500142	29500274	29495478	29495607	29505472	29505630
113	"ENSG00000271425.6"	"NBPF10"	chr1	-	146120724	146120776	146122282	146122391	146066291	146066561	146123105	146123278
114	"ENSG00000087470.17"	"DNM1L"	chr12	+	32710928	32711015	32713208	32713371	32708152	32708224	32718642	32718763
115	"ENSG00000087470.17"	"DNM1L"	chr12	+	32737864	32737942	32738263	32738296	32737104	32737161	32740063	32740240
116	"ENSG00000087470.17"	"DNM1L"	chr12	+	32705824	32705863	32706689	32706814	32701414	32701562	32707366	32707413
117	"ENSG00000087470.17"	"DNM1L"	chr12	+	32707366	32707413	32708152	32708224	32701414	32701562	32710928	32711015
118	"ENSG00000087470.17"	"DNM1L"	chr12	+	32713208	32713371	32718642	32718763	32710928	32711015	32720663	32720795
119	"ENSG00000125970.11"	"RALY"	chr20	+	34073562	34073635	34073818	34073866	34072065	34072205	34075873	34076040
120	"ENSG00000125970.11"	"RALY"	chr20	+	34033163	34033239	34065043	34065160	34031521	34031604	34072065	34072330
121	"ENSG00000151834.15"	"GABRA2"	chr4	-	46303459	46303612	46310172	46310255	46261925	46262128	46312495	46312716
122	"ENSG00000126091.19"	"ST3GAL3"	chr1	+	43858134	43858308	43879334	43879507	43838218	43838311	43894382	43894477
123	"ENSG00000064225.12"	"ST3GAL6"	chr3	+	98773919	98773983	98784944	98785040	98772812	98772916	98788035	98788222
124	"ENSG00000024048.10"	"UBR2"	chr6	+	42617239	42617338	42617408	42617507	42616001	42616090	42632551	42632715
125	"ENSG00000136280.15"	"CCM2"	chr7	+	45069825	45069961	45072725	45072783	45064462	45064646	45073459	45073571
126	"ENSG00000136280.15"	"CCM2"	chr7	+	45064462	45064646	45068442	45068579	45038252	45038426	45069825	45069961
127	"ENSG00000136280.15"	"CCM2"	chr7	+	45038252	45038426	45063917	45064001	45027671	45027797	45064462	45064646
128	"ENSG00000136280.15"	"CCM2"	chr7	+	45038252	45038426	45063917	45064001	45000187	45000363	45064462	45064646
129	"ENSG00000163681.14"	"SLMAP"	chr3	+	57864806	57864857	57865241	57865292	57864547	57864716	57871635	57871698
130	"ENSG00000163681.14"	"SLMAP"	chr3	+	57865241	57865292	57871635	57871698	57864547	57864716	57890040	57890100
131	"ENSG00000163681.14"	"SLMAP"	chr3	+	57865241	57865292	57871635	57871698	57864806	57864857	57890040	57890100
132	"ENSG00000119383.19"	"PTPA"	chr9	+	129123051	129123138	129128984	129129110	129120512	129120610	129131521	129131639
133	"ENSG00000107290.13"	"SETX"	chr9	-	132266126	132266249	132269402	132269489	132261355	132264985	132269614	132269702
134	"ENSG00000110080.18"	"ST3GAL4"	chr11	+	126407573	126407634	126408098	126408194	126407251	126407349	126408306	126408496
135	"ENSG00000163939.18"	"PBRM1"	chr3	-	52554723	52554879	52558248	52558413	52550746	52550817	52561766	52561968
136	"ENSG00000131051.21"	"RBM39"	chr20	-	35739392	35739547	35740524	35740597	35738967	35739017	35740823	35740887
137	"ENSG00000167098.11"	"SUN5"	chr20	-	33001211	33001278	33002586	33002661	32999852	33000135	33002860	33002919
138	"ENSG00000073803.13"	"MAP3K13"	chr3	+	185329073	185329249	185428496	185428946	185328894	185328962	185437446	185437630
139	"ENSG00000163581.13"	"SLC2A2"	chr3	-	171009957	171010082	171014468	171014731	171007147	171007263	171018530	171018623
140	"ENSG00000259867.5"	"RP11-525K10.3"	chr16	-	80160231	80160306	80491216	80491571	80159336	80159455	80528641	80528786
141	"ENSG00000038427.15"	"VCAN"	chr5	+	83519348	83522309	83537006	83542268	83512102	83512396	83545536	83545650
142	"ENSG00000167699.13"	"GLOD4"	chr17	-	778621	778661	778694	778744	776867	776988	780683	780738
143	"ENSG00000012660.13"	"ELOVL5"	chr6	-	53287861	53287942	53290400	53290535	53276178	53276256	53291775	53291963
144	"ENSG00000072609.17"	"CHFR"	chr12	-	132848084	132848155	132848181	132848257	132847042	132847130	132848640	132848724
145	"ENSG00000072609.17"	"CHFR"	chr12	-	132862332	132862425	132869618	132869834	132861466	132861634	132870723	132870783
146	"ENSG00000072609.17"	"CHFR"	chr12	-	132862332	132862425	132869618	132869798	132861466	132861634	132870723	132870783
147	"ENSG00000196756.11"	"SNHG17"	chr20	-	38422091	38422241	38425934	38426052	38421005	38421098	38426418	38426503
148	"ENSG00000085365.17"	"SCAMP1"	chr5	+	78421800	78421960	78449932	78450034	78418774	78418903	78459244	78459362
149	"ENSG00000125885.13"	"MCM8"	chr20	+	5972006	5972037	5972575	5972726	5967829	5968025	5973055	5973196
150	"ENSG00000074603.18"	"DPP8"	chr15	-	65454262	65454415	65456224	65456371	65451959	65452102	65463760	65463906
151	"ENSG00000183873.15"	"SCN5A"	chr3	-	38613742	38613834	38613974	38614066	38609733	38609964	38620842	38620971
152	"ENSG00000090554.12"	"FLT3LG"	chr19	+	49478962	49479047	49480297	49480476	49476422	49476566	49480551	49480620
153	"ENSG00000182919.14"	"C11orf54"	chr11	+	93755209	93755386	93757315	93757465	93753935	93754037	93759741	93759858
154	"ENSG00000254788.7"	"CKLF-CMTM1"	chr16	+	66558189	66558348	66563121	66563217	66552678	66552793	66577103	66577202
155	"ENSG00000181315.10"	"ZNF322"	chr6	-	26643658	26643728	26658557	26658646	26634392	26638728	26659440	26659752
156	"ENSG00000196998.17"	"WDR45"	chrX	-	49076644	49076750	49077642	49077747	49076429	49076524	49077836	49077911
157	"ENSG00000196998.17"	"WDR45"	chrX	-	49076429	49076524	49077642	49077747	49075865	49075945	49077836	49077911
158	"ENSG00000196998.17"	"WDR45"	chrX	-	49076644	49076753	49077642	49077747	49076429	49076524	49077836	49077911
159	"ENSG00000221978.11"	"CCNL2"	chr1	-	1388625	1388743	1388949	1389047	1387953	1388065	1390229	1390371
160	"ENSG00000090905.18"	"TNRC6A"	chr16	+	24815146	24815305	24815354	24815475	24809349	24809481	24816815	24816956
161	"ENSG00000105339.10"	"DENND3"	chr8	+	141160631	141160787	141163332	141163429	141155848	141155970	141165185	141165289
162	"ENSG00000111596.11"	"CNOT2"	chr12	+	70294070	70294294	70301704	70301865	70278131	70278274	70310894	70311017
163	"ENSG00000111596.11"	"CNOT2"	chr12	+	70285399	70285586	70301704	70301865	70278131	70278274	70310894	70311017
164	"ENSG00000111596.11"	"CNOT2"	chr12	+	70285399	70285586	70294070	70294294	70278131	70278274	70310894	70311017
165	"ENSG00000111596.11"	"CNOT2"	chr12	+	70285399	70285586	70294236	70294294	70278131	70278274	70310894	70311017
166	"ENSG00000111596.11"	"CNOT2"	chr12	+	70294236	70294294	70301704	70301865	70278131	70278274	70310894	70311017
167	"ENSG00000133816.13"	"MICAL2"	chr11	+	12249183	12249246	12255642	12255750	12243986	12244112	12256784	12256971
168	"ENSG00000185499.16"	"MUC1"	chr1	-	155187454	155187576	155187721	155187858	155187224	155187374	155188007	155188063
169	"ENSG00000185499.16"	"MUC1"	chr1	-	155187721	155187858	155188007	155188063	155187454	155187576	155188162	155188212
170	"ENSG00000185499.16"	"MUC1"	chr1	-	155187454	155187544	155188162	155188231	155187224	155187374	155192182	155192310
171	"ENSG00000185499.16"	"MUC1"	chr1	-	155187454	155187544	155187721	155187858	155187224	155187374	155188007	155188063
172	"ENSG00000185499.16"	"MUC1"	chr1	-	155188007	155188054	155188162	155188212	155187721	155187858	155192182	155192283
173	"ENSG00000185499.16"	"MUC1"	chr1	-	155188007	155188063	155188162	155188212	155187721	155187858	155192182	155192310
174	"ENSG00000185499.16"	"MUC1"	chr1	-	155188007	155188063	155188162	155188231	155187454	155187544	155192182	155192310
175	"ENSG00000185499.16"	"MUC1"	chr1	-	155188007	155188063	155188162	155188212	155187454	155187576	155192182	155192310
176	"ENSG00000150672.16"	"DLG2"	chr11	-	83483252	83483298	83484128	83484228	83472726	83472777	83532707	83532783
177	"ENSG00000164933.11"	"SLC25A32"	chr8	-	103403163	103403324	103404775	103404861	103401940	103402054	103407633	103407784
178	"ENSG00000112715.20"	"VEGFA"	chr6	+	43778459	43778536	43782010	43782087	43777468	43777665	43784540	43784562
179	"ENSG00000112715.20"	"VEGFA"	chr6	+	43780731	43780803	43781955	43782052	43778888	43778918	43784540	43784562
180	"ENSG00000174842.16"	"GLMN"	chr1	-	92266418	92266492	92266539	92266593	92263622	92263732	92266699	92266741
181	"ENSG00000048052.21"	"HDAC9"	chr7	+	18502580	18502639	18543168	18543674	18496261	18496324	18585280	18585522
182	"ENSG00000183668.17"	"PSG9"	chr19	-	43258856	43259135	43261859	43262138	43258201	43258456	43267783	43268149
183	"ENSG00000155508.13"	"CNOT8"	chr5	+	154865191	154865385	154870660	154870822	154863206	154863395	154871729	154871874
184	"ENSG00000140374.15"	"ETFA"	chr15	-	76284364	76284460	76284804	76284927	76283756	76283825	76285636	76285738
185	"ENSG00000060762.18"	"MPC1"	chr6	-	166366968	166367187	166369465	166369469	166366794	166366891	166382805	166383013
186	"ENSG00000060762.18"	"MPC1"	chr6	-	166366968	166367184	166368732	166368961	166366794	166366891	166370217	166370221
187	"ENSG00000198520.10"	"C1orf228"	chr1	+	44684392	44684656	44688195	44688319	44674712	44674873	44689675	44689903
188	"ENSG00000078403.16"	"MLLT10"	chr10	+	21557620	21557824	21571974	21572026	21538832	21538912	21586293	21586348
189	"ENSG00000078403.16"	"MLLT10"	chr10	+	21541262	21541361	21571974	21572026	21538832	21538912	21586293	21586348
190	"ENSG00000078403.16"	"MLLT10"	chr10	+	21541262	21541361	21557620	21557824	21538832	21538912	21586293	21586348
191	"ENSG00000157554.18"	"ERG"	chr21	-	38392375	38392444	38400573	38400645	38391658	38391715	38402556	38402637
192	"ENSG00000041357.15"	"PSMA4"	chr15	+	78542482	78542645	78544189	78544267	78542176	78542219	78544868	78544957
193	"ENSG00000041357.15"	"PSMA4"	chr15	+	78542176	78542219	78542482	78542645	78541904	78541930	78544189	78544267
194	"ENSG00000130164.12"	"LDLR"	chr19	+	11102663	11102786	11105219	11105600	11100222	11100345	11106564	11106687
195	"ENSG00000186566.12"	"GPATCH8"	chr17	-	44467096	44467114	44473724	44473759	44464471	44464544	44474828	44474903
196	"ENSG00000205755.11_PAR_Y"	"CRLF2"	chrY	-	1198561	1198724	1198800	1199145	1196779	1196900	1202401	1202535
197	"ENSG00000164548.10"	"TRA2A"	chr7	-	23522131	23522432	23531180	23531270	23521706	23521840	23531788	23532041
198	"ENSG00000163517.14"	"HDAC11"	chr3	+	13498512	13498555	13500712	13500789	13496735	13496852	13501870	13501933
199	"ENSG00000163517.14"	"HDAC11"	chr3	+	13483463	13483564	13501870	13501933	13481245	13481394	13502883	13502980
200	"ENSG00000121749.15"	"TBC1D15"	chr12	+	71880468	71880607	71884810	71885021	71872928	71873003	71893221	71893324
201	"ENSG00000121749.15"	"TBC1D15"	chr12	+	71841100	71841231	71854784	71854853	71839758	71839811	71872069	71872168
202	"ENSG00000121749.15"	"TBC1D15"	chr12	+	71841100	71841231	71861404	71861496	71839758	71839811	71872069	71872168
203	"ENSG00000121749.15"	"TBC1D15"	chr12	+	71854784	71854853	71861404	71861496	71839758	71839811	71872069	71872168
204	"ENSG00000270106.5"	"TSNAX-DISC1"	chr1	+	231561127	231561255	231616643	231616906	231542480	231542611	231693825	231694805
205	"ENSG00000243955.5"	"GSTA1"	chr6	-	52796181	52796314	52797585	52797637	52794124	52794266	52799180	52799297
206	"ENSG00000104951.15"	"IL4I1"	chr19	-	49896147	49896182	49901638	49901821	49895814	49896053	49904198	49904321
207	"ENSG00000104951.15"	"IL4I1"	chr19	-	49896147	49896182	49901638	49901879	49895814	49896053	49904198	49904321
208	"ENSG00000134759.13"	"ELP2"	chr18	+	36138794	36138872	36139418	36139613	36138269	36138426	36141136	36141201
209	"ENSG00000189058.8"	"APOD"	chr3	-	195582616	195582739	195583066	195583202	195579338	195579495	195583877	195583940
210	"ENSG00000133742.13"	"CA1"	chr8	-	85341753	85341834	85342748	85342825	85341598	85341659	85378045	85378113
211	"ENSG00000133742.13"	"CA1"	chr8	-	85341753	85341834	85349810	85349885	85341598	85341659	85378045	85378113
212	"ENSG00000133742.13"	"CA1"	chr8	-	85341753	85341808	85342748	85342825	85341598	85341659	85378045	85378113
213	"ENSG00000133742.13"	"CA1"	chr8	-	85341753	85341808	85349810	85349885	85341598	85341659	85378045	85378113
214	"ENSG00000133742.13"	"CA1"	chr8	-	85342748	85342825	85349810	85349885	85341598	85341659	85378045	85378113
215	"ENSG00000133742.13"	"CA1"	chr8	-	85342748	85342825	85349810	85349885	85341598	85341659	85351730	85351784
216	"ENSG00000204482.10"	"LST1"	chr6	+	31587640	31587733	31587943	31587966	31587199	31587318	31588517	31588909
217	"ENSG00000099840.13"	"IZUMO4"	chr19	+	2097928	2097955	2098051	2098127	2097423	2097495	2098286	2098334
218	"ENSG00000182718.16"	"ANXA2"	chr15	-	60396150	60396427	60397257	60397338	60386027	60386086	60397942	60397986
219	"ENSG00000182718.16"	"ANXA2"	chr15	-	60396372	60396427	60397257	60397338	60386027	60386086	60397942	60397986
220	"ENSG00000182718.16"	"ANXA2"	chr15	-	60390212	60390317	60396279	60396427	60386027	60386086	60397257	60397338
221	"ENSG00000182718.16"	"ANXA2"	chr15	-	60390212	60390317	60396150	60396427	60386027	60386086	60397257	60397338
222	"ENSG00000182718.16"	"ANXA2"	chr15	-	60390212	60390317	60396372	60396427	60386027	60386086	60397942	60397986
223	"ENSG00000182718.16"	"ANXA2"	chr15	-	60390212	60390317	60397257	60397338	60386027	60386086	60397942	60397986
224	"ENSG00000182718.16"	"ANXA2"	chr15	-	60390212	60390317	60396150	60396427	60386027	60386086	60397942	60397986
225	"ENSG00000182718.16"	"ANXA2"	chr15	-	60396279	60396427	60397257	60397338	60386027	60386086	60397942	60397986
226	"ENSG00000182718.16"	"ANXA2"	chr15	-	60364428	60364523	60386027	60386086	60360940	60361054	60397942	60397986
