ENSG_ver	ENSG_no_ver	GeneSymbol	chr
350	ENSG00000234721.2	ENSG00000234721	LINC02092	chr17
351	ENSG00000260443.1	ENSG00000260443	AC127455.1	chr16
352	ENSG00000197013.9	ENSG00000197013	ZNF429	chr19
353	ENSG00000087502.17	ENSG00000087502	ERGIC2	chr12
354	ENSG00000274162.1	ENSG00000274162	SNX18P1Y	chrY
355	ENSG00000229703.6	ENSG00000229703	LYPD9P	chr1
356	ENSG00000205412.5	ENSG00000205412	HNRNPA1P20	chr3
357	ENSG00000257803.2	ENSG00000257803	AC010200.1	chr12
358	ENSG00000164896.19	ENSG00000164896	FASTK	chr7
359	ENSG00000155463.12	ENSG00000155463	OXA1L	chr14
360	ENSG00000108639.7	ENSG00000108639	SYNGR2	chr17
361	ENSG00000263316.1	ENSG00000263316	AC027763.2	chr17
362	ENSG00000111837.11	ENSG00000111837	MAK	chr6
363	ENSG00000237372.2	ENSG00000237372	AL606807.1	chr9
364	ENSG00000132259.12	ENSG00000132259	CNGA4	chr11
365	ENSG00000188620.9	ENSG00000188620	HMX3	chr10
366	ENSG00000153936.16	ENSG00000153936	HS2ST1	chr1
367	ENSG00000257322.5	ENSG00000257322	AC138123.1	chr12
368	ENSG00000204092.2	ENSG00000204092	LINC00951	chr6
369	ENSG00000125430.8	ENSG00000125430	HS3ST3B1	chr17
370	ENSG00000220908.2	ENSG00000220908	LINC02531	chr6
371	ENSG00000260882.1	ENSG00000260882	AC026458.1	chr16
372	ENSG00000122872.8	ENSG00000122872	ARL4AP1	chr10
373	ENSG00000223773.7	ENSG00000223773	CD99P1	chrX
374	ENSG00000154370.15	ENSG00000154370	TRIM11	chr1
375	ENSG00000265417.1	ENSG00000265417	AP005119.2	chr18
376	ENSG00000233223.2	ENSG00000233223	AC016876.1	chr17
377	ENSG00000126247.10	ENSG00000126247	CAPNS1	chr19
378	ENSG00000229563.6	ENSG00000229563	LINC01204	chrX
379	ENSG00000144771.7	ENSG00000144771	LRTM1	chr3
380	ENSG00000261612.1	ENSG00000261612	SUB1P3	chr16
381	ENSG00000233278.1	ENSG00000233278	RPS26P2	chr9
382	ENSG00000254986.7	ENSG00000254986	DPP3	chr11
383	ENSG00000118260.14	ENSG00000118260	CREB1	chr2
384	ENSG00000225520.1	ENSG00000225520	NA	NA
385	ENSG00000013275.7	ENSG00000013275	PSMC4	chr19
386	ENSG00000224809.2	ENSG00000224809	BEND3P2	chr9
387	ENSG00000229806.1	ENSG00000229806	RPS15P5	chr3
388	ENSG00000233392.5	ENSG00000233392	AC104809.2	chr2
389	ENSG00000202318.1	ENSG00000202318	RF00019	chr12
390	ENSG00000140287.10	ENSG00000140287	HDC	chr15
391	ENSG00000270105.1	ENSG00000270105	AC136475.8	chr11
392	ENSG00000099715.14	ENSG00000099715	PCDH11Y	chrY
393	ENSG00000108759.3	ENSG00000108759	KRT32	chr17
394	ENSG00000237452.2	ENSG00000237452	BHMG1	chr19
395	ENSG00000242616.3	ENSG00000242616	GNG10	chr9
396	ENSG00000183684.7	ENSG00000183684	ALYREF	chr17
397	ENSG00000125898.12	ENSG00000125898	FAM110A	chr20
398	ENSG00000108591.9	ENSG00000108591	DRG2	chr17
399	ENSG00000157873.17	ENSG00000157873	TNFRSF14	chr1
400	ENSG00000236930.1	ENSG00000236930	AC099782.1	chr3
401	ENSG00000103429.10	ENSG00000103429	BFAR	chr16
402	ENSG00000266106.1	ENSG00000266106	AC103809.1	chr17
403	ENSG00000260318.1	ENSG00000260318	COX6CP1	chr16
404	ENSG00000201136.1	ENSG00000201136	RNU6-353P	chr15
405	ENSG00000172938.3	ENSG00000172938	MRGPRD	chr11
406	ENSG00000115607.9	ENSG00000115607	IL18RAP	chr2
407	ENSG00000275017.1	ENSG00000275017	AL353748.2	chr9
408	ENSG00000203710.10	ENSG00000203710	CR1	chr1
409	ENSG00000172007.5	ENSG00000172007	RAB33B	chr4
410	ENSG00000272449.1	ENSG00000272449	AL139246.5	chr1
411	ENSG00000093010.13	ENSG00000093010	COMT	chr22
412	ENSG00000120280.5	ENSG00000120280	CXorf21	chrX
413	ENSG00000165312.6	ENSG00000165312	OTUD1	chr10
414	ENSG00000105483.17	ENSG00000105483	CARD8	chr19
415	ENSG00000169717.6	ENSG00000169717	ACTRT2	chr1
416	ENSG00000123395.14	ENSG00000123395	ATG101	chr12
417	ENSG00000101199.12	ENSG00000101199	ARFGAP1	chr20
418	ENSG00000109466.13	ENSG00000109466	KLHL2	chr4
419	ENSG00000236266.1	ENSG00000236266	Z98884.1	chr1
420	ENSG00000080546.13	ENSG00000080546	SESN1	chr6
421	ENSG00000180138.7	ENSG00000180138	CSNK1A1L	chr13
422	ENSG00000144445.16	ENSG00000144445	KANSL1L	chr2
423	ENSG00000274536.6	ENSG00000274536	AL034397.3	chrX
424	ENSG00000237531.6	ENSG00000237531	AL672277.1	chrX
425	ENSG00000102524.11	ENSG00000102524	TNFSF13B	chr13
426	ENSG00000175471.19	ENSG00000175471	MCTP1	chr5
427	ENSG00000165071.14	ENSG00000165071	TMEM71	chr8
428	ENSG00000148848.14	ENSG00000148848	ADAM12	chr10
429	ENSG00000261469.1	ENSG00000261469	AC020978.4	chr16
430	ENSG00000180855.15	ENSG00000180855	ZNF443	chr19
431	ENSG00000266959.1	ENSG00000266959	AC005786.1	chr19
