ENSG_ver	ENSG_no_ver	GeneSymbol	chr
21527	ENSG00000006432.15	ENSG00000006432	MAP3K9	chr14
14003	ENSG00000006451.7	ENSG00000006451	RALA	chr7
12267	ENSG00000006453.13	ENSG00000006453	BAIAP2L1	chr7
2251	ENSG00000006459.10	ENSG00000006459	KDM7A	chr7
1631	ENSG00000006468.13	ENSG00000006468	ETV1	chr7
8472	ENSG00000006530.15	ENSG00000006530	AGK	chr7
10735	ENSG00000006534.15	ENSG00000006534	ALDH3B1	chr11
20267	ENSG00000006555.10	ENSG00000006555	TTC22	chr1
13781	ENSG00000006576.16	ENSG00000006576	PHTF2	chr7
39297	ENSG00000006606.8	ENSG00000006606	CCL26	chr7
15193	ENSG00000006607.13	ENSG00000006607	FARP2	chr2
104095	ENSG00000006611.15	ENSG00000006611	USH1C	chr11
2907	ENSG00000006625.17	ENSG00000006625	GGCT	chr7
3667	ENSG00000006634.7	ENSG00000006634	DBF4	chr7
830	ENSG00000006638.11	ENSG00000006638	TBXA2R	chr19
5158	ENSG00000006652.13	ENSG00000006652	IFRD1	chr7
303250	ENSG00000006659.12	ENSG00000006659	LGALS14	chr19
5079	ENSG00000006695.10	ENSG00000006695	COX10	chr17
14759	ENSG00000006704.10	ENSG00000006704	GTF2IRD1	chr7
11949	ENSG00000006712.14	ENSG00000006712	PAF1	chr19
13282	ENSG00000006715.15	ENSG00000006715	VPS41	chr7
1832	ENSG00000006740.16	ENSG00000006740	ARHGAP44	chr17
11438	ENSG00000006744.18	ENSG00000006744	ELAC2	chr17
345	ENSG00000006747.14	ENSG00000006747	SCIN	chr7
24	ENSG00000006756.15	ENSG00000006756	ARSD	chrX
18	ENSG00000006757.11	ENSG00000006757	PNPLA4	chrX
329125	ENSG00000006788.13	ENSG00000006788	MYH13	chr17
4728	ENSG00000006831.9	ENSG00000006831	ADIPOR2	chr12
2267	ENSG00000006837.11	ENSG00000006837	CDKL3	chr5
102935	ENSG00000007001.12	ENSG00000007001	UPP2	chr2
298457	ENSG00000007038.10	ENSG00000007038	PRSS21	chr16
12173	ENSG00000007047.14	ENSG00000007047	MARK4	chr19
57120	ENSG00000007062.11	ENSG00000007062	PROM1	chr4
3757	ENSG00000007080.10	ENSG00000007080	CCDC124	chr19
2379	ENSG00000007129.17	ENSG00000007129	CEACAM21	chr19
15492	ENSG00000007168.12	ENSG00000007168	PAFAH1B1	chr17
1388	ENSG00000007171.16	ENSG00000007171	NOS2	chr17
4587	ENSG00000007174.17	ENSG00000007174	DNAH9	chr17
4998	ENSG00000007202.14	ENSG00000007202	KIAA0100	chr17
263323	ENSG00000007216.14	ENSG00000007216	SLC13A2	chr17
6836	ENSG00000007237.18	ENSG00000007237	GAS7	chr17
8616	ENSG00000007255.10	ENSG00000007255	TRAPPC6A	chr19
596	ENSG00000007264.14	ENSG00000007264	MATK	chr19
310077	ENSG00000007306.14	ENSG00000007306	CEACAM7	chr19
839	ENSG00000007312.12	ENSG00000007312	CD79B	chr17
1068	ENSG00000007314.12	ENSG00000007314	SCN4A	chr17
3547	ENSG00000007341.18	ENSG00000007341	ST7L	chr1
390684	ENSG00000007350.16	ENSG00000007350	TKTL1	chrX
101275	ENSG00000007372.21	ENSG00000007372	PAX6	chr11
6893	ENSG00000007376.7	ENSG00000007376	RPUSD1	chr16
13324	ENSG00000007384.15	ENSG00000007384	RHBDF1	chr16
15166	ENSG00000007392.16	ENSG00000007392	LUC7L	chr16
5801	ENSG00000007402.11	ENSG00000007402	CACNA2D2	chr3
2597	ENSG00000007516.13	ENSG00000007516	BAIAP3	chr16
10362	ENSG00000007520.3	ENSG00000007520	TSR3	chr16
7976	ENSG00000007541.16	ENSG00000007541	PIGQ	chr16
14439	ENSG00000007545.15	ENSG00000007545	CRAMP1	chr16
1554	ENSG00000007866.19	ENSG00000007866	TEAD3	chr6
4262	ENSG00000007908.15	ENSG00000007908	SELE	chr1
6812	ENSG00000007923.15	ENSG00000007923	DNAJC11	chr1
9345	ENSG00000007933.12	ENSG00000007933	FMO3	chr1
15236	ENSG00000007944.14	ENSG00000007944	MYLIP	chr6
115684	ENSG00000007952.17	ENSG00000007952	NOX1	chrX
10501	ENSG00000007968.6	ENSG00000007968	E2F2	chr1
7618	ENSG00000008018.8	ENSG00000008018	PSMB1	chr6
2425	ENSG00000008056.13	ENSG00000008056	SYN1	chrX
7814	ENSG00000008083.13	ENSG00000008083	JARID2	chr6
6731	ENSG00000008086.11	ENSG00000008086	CDKL5	chrX
40504	ENSG00000008118.9	ENSG00000008118	CAMK1G	chr1
3696	ENSG00000008128.22	ENSG00000008128	CDK11A	chr1
3317	ENSG00000008130.15	ENSG00000008130	NADK	chr1
34043	ENSG00000008196.12	ENSG00000008196	TFAP2B	chr6
4743	ENSG00000008226.19	ENSG00000008226	DLEC1	chr3
15807	ENSG00000008256.15	ENSG00000008256	CYTH3	chr7
1522	ENSG00000008277.14	ENSG00000008277	ADAM22	chr7
12938	ENSG00000008282.8	ENSG00000008282	SYPL1	chr7
13682	ENSG00000008283.15	ENSG00000008283	CYB561	chr17
11266	ENSG00000008294.20	ENSG00000008294	SPAG9	chr17
7889	ENSG00000008300.16	ENSG00000008300	CELSR3	chr3
8929	ENSG00000008311.14	ENSG00000008311	AASS	chr7
1891	ENSG00000008323.15	ENSG00000008323	PLEKHG6	chr12
12187	ENSG00000008324.11	ENSG00000008324	SS18L2	chr3
13044	ENSG00000008382.15	ENSG00000008382	MPND	chr19
1117	ENSG00000008394.12	ENSG00000008394	MGST1	chr12
13366	ENSG00000008405.11	ENSG00000008405	CRY1	chr12
437898	ENSG00000008438.4	ENSG00000008438	PGLYRP1	chr19
10895	ENSG00000008441.16	ENSG00000008441	NFIX	chr19
1790	ENSG00000008513.14	ENSG00000008513	ST3GAL1	chr8
1637	ENSG00000008516.16	ENSG00000008516	MMP25	chr16
14683	ENSG00000008517.16	ENSG00000008517	IL32	chr16
4129	ENSG00000008710.19	ENSG00000008710	PKD1	chr16
2335	ENSG00000008735.13	ENSG00000008735	MAPK8IP2	chr22
15553	ENSG00000008838.19	ENSG00000008838	MED24	chr17
4919	ENSG00000008853.16	ENSG00000008853	RHOBTB2	chr8
15125	ENSG00000008869.11	ENSG00000008869	HEATR5B	chr2
10158	ENSG00000008952.16	ENSG00000008952	SEC62	chr3
8546	ENSG00000008988.9	ENSG00000008988	RPS20	chr8
7378	ENSG00000009307.15	ENSG00000009307	CSDE1	chr1
9532	ENSG00000009335.17	ENSG00000009335	UBE3C	chr7
11721	ENSG00000009413.15	ENSG00000009413	REV3L	chr6
14457	ENSG00000009694.13	ENSG00000009694	TENM1	chrX
101646	ENSG00000009709.11	ENSG00000009709	PAX7	chr1
11895	ENSG00000009724.16	ENSG00000009724	MASP2	chr1
328051	ENSG00000009765.14	ENSG00000009765	IYD	chr6
11980	ENSG00000009780.15	ENSG00000009780	FAM76A	chr1
3822	ENSG00000009790.14	ENSG00000009790	TRAF3IP3	chr1
14931	ENSG00000009830.11	ENSG00000009830	POMT2	chr14
14698	ENSG00000009844.15	ENSG00000009844	VTA1	chr6
5622	ENSG00000009950.15	ENSG00000009950	MLXIPL	chr7
12435	ENSG00000009954.10	ENSG00000009954	BAZ1B	chr7
11861	ENSG00000010017.12	ENSG00000010017	RANBP9	chr6
2618	ENSG00000010030.13	ENSG00000010030	ETV7	chr6
8956	ENSG00000010072.15	ENSG00000010072	SPRTN	chr1
11864	ENSG00000010165.19	ENSG00000010165	EEF1AKNMT	chr1
2330	ENSG00000010219.13	ENSG00000010219	DYRK4	chr12
14686	ENSG00000010244.18	ENSG00000010244	ZNF207	chr17
6763	ENSG00000010256.10	ENSG00000010256	UQCRC1	chr3
6302	ENSG00000010270.13	ENSG00000010270	STARD3NL	chr7
1124	ENSG00000010278.12	ENSG00000010278	CD9	chr12
100430	ENSG00000010282.14	ENSG00000010282	HHATL	chr3
7695	ENSG00000010292.12	ENSG00000010292	NCAPD2	chr12
10675	ENSG00000010295.19	ENSG00000010295	IFFO1	chr12
891	ENSG00000010310.8	ENSG00000010310	GIPR	chr19
13401	ENSG00000010318.20	ENSG00000010318	PHF7	chr3
3443	ENSG00000010319.6	ENSG00000010319	SEMA3G	chr3
11664	ENSG00000010322.15	ENSG00000010322	NISCH	chr3
8493	ENSG00000010327.10	ENSG00000010327	STAB1	chr3
5098	ENSG00000010361.13	ENSG00000010361	FUZ	chr19
109937	ENSG00000010379.15	ENSG00000010379	SLC6A13	chr12
2546	ENSG00000010404.17	ENSG00000010404	IDS	chrX
101004	ENSG00000010438.16	ENSG00000010438	PRSS3	chr9
11428	ENSG00000010539.11	ENSG00000010539	ZNF200	chr16
6889	ENSG00000010610.9	ENSG00000010610	CD4	chr12
7605	ENSG00000010626.14	ENSG00000010626	LRRC23	chr12
4270	ENSG00000010671.15	ENSG00000010671	BTK	chrX
8533	ENSG00000010704.18	ENSG00000010704	HFE	chr6
13667	ENSG00000010803.16	ENSG00000010803	SCMH1	chr1
3258	ENSG00000010810.17	ENSG00000010810	FYN	chr6
9595	ENSG00000010818.9	ENSG00000010818	HIVEP2	chr6
13259	ENSG00000010932.16	ENSG00000010932	FMO1	chr1
8480	ENSG00000011007.12	ENSG00000011007	ELOA	chr1
11239	ENSG00000011009.10	ENSG00000011009	LYPLA2	chr1
14959	ENSG00000011021.21	ENSG00000011021	CLCN6	chr1
3362	ENSG00000011028.13	ENSG00000011028	AC080038.1	chr17
66494	ENSG00000011083.8	ENSG00000011083	SLC6A7	chr5
15233	ENSG00000011105.12	ENSG00000011105	TSPAN9	chr12
14909	ENSG00000011114.14	ENSG00000011114	BTBD7	chr14
11676	ENSG00000011132.11	ENSG00000011132	APBA3	chr19
3970	ENSG00000011143.16	ENSG00000011143	MKS1	chr17
1797	ENSG00000011198.7	ENSG00000011198	ABHD5	chr3
3506	ENSG00000011201.11	ENSG00000011201	ANOS1	chrX
9264	ENSG00000011243.17	ENSG00000011243	AKAP8L	chr19
15820	ENSG00000011258.15	ENSG00000011258	MBTD1	chr17
14465	ENSG00000011260.13	ENSG00000011260	UTP18	chr17
15212	ENSG00000011275.18	ENSG00000011275	RNF216	chr7
4561	ENSG00000011295.15	ENSG00000011295	TTC19	chr17
13974	ENSG00000011304.19	ENSG00000011304	PTBP1	chr19
49159	ENSG00000011332.19	ENSG00000011332	DPF1	chr19
12863	ENSG00000011347.9	ENSG00000011347	SYT7	chr11
9657	ENSG00000011376.9	ENSG00000011376	LARS2	chr3
12152	ENSG00000011405.13	ENSG00000011405	PIK3C2A	chr11
13753	ENSG00000011422.11	ENSG00000011422	PLAUR	chr19
11528	ENSG00000011426.10	ENSG00000011426	ANLN	chr7
12484	ENSG00000011451.17	ENSG00000011451	WIZ	chr19
1728	ENSG00000011454.16	ENSG00000011454	RABGAP1	chr9
5125	ENSG00000011465.16	ENSG00000011465	DCN	chr12
10443	ENSG00000011478.11	ENSG00000011478	QPCTL	chr19
6868	ENSG00000011485.14	ENSG00000011485	PPP5C	chr19
5897	ENSG00000011523.13	ENSG00000011523	CEP68	chr2
6388	ENSG00000011566.14	ENSG00000011566	MAP4K3	chr2
308728	ENSG00000011590.13	ENSG00000011590	ZBTB32	chr19
4095	ENSG00000011600.11	ENSG00000011600	TYROBP	chr19
4838	ENSG00000011638.10	ENSG00000011638	TMEM159	chr16
101348	ENSG00000011677.12	ENSG00000011677	GABRA3	chrX
10534	ENSG00000012048.20	ENSG00000012048	BRCA1	chr17
16058	ENSG00000012061.15	ENSG00000012061	ERCC1	chr19
5542	ENSG00000012124.16	ENSG00000012124	CD22	chr19
4606	ENSG00000012171.19	ENSG00000012171	SEMA3B	chr3
7609	ENSG00000012174.11	ENSG00000012174	MBTPS2	chrX
13971	ENSG00000012211.12	ENSG00000012211	PRICKLE3	chrX
6140	ENSG00000012223.12	ENSG00000012223	LTF	chr3
15003	ENSG00000012232.8	ENSG00000012232	EXTL3	chr8
45945	ENSG00000012504.13	ENSG00000012504	NR1H4	chr12
2558	ENSG00000012660.13	ENSG00000012660	ELOVL5	chr6
3697	ENSG00000012779.10	ENSG00000012779	ALOX5	chr10
6417	ENSG00000012822.15	ENSG00000012822	CALCOCO1	chr12
15870	ENSG00000012963.14	ENSG00000012963	UBR7	chr14
15673	ENSG00000012983.11	ENSG00000012983	MAP4K5	chr14
363	ENSG00000013016.15	ENSG00000013016	EHD3	chr2
14100	ENSG00000013275.7	ENSG00000013275	PSMC4	chr19
15554	ENSG00000013288.8	ENSG00000013288	MAN2B2	chr4
111641	ENSG00000013293.5	ENSG00000013293	SLC7A14	chr3
5348	ENSG00000013297.10	ENSG00000013297	CLDN11	chr3
8038	ENSG00000013306.15	ENSG00000013306	SLC25A39	chr17
11019	ENSG00000013364.18	ENSG00000013364	MVP	chr16
9739	ENSG00000013374.15	ENSG00000013374	NUB1	chr7
1023	ENSG00000013375.15	ENSG00000013375	PGM3	chr6
4846	ENSG00000013392.7	ENSG00000013392	RWDD2A	chr6
13756	ENSG00000013441.15	ENSG00000013441	CLK1	chr2
13310	ENSG00000013503.9	ENSG00000013503	POLR3B	chr12
7402	ENSG00000013523.9	ENSG00000013523	ANGEL1	chr14
917	ENSG00000013561.17	ENSG00000013561	RNF14	chr5
5393	ENSG00000013563.13	ENSG00000013563	DNASE1L1	chrX
13505	ENSG00000013573.16	ENSG00000013573	DDX11	chr12
5164	ENSG00000013583.8	ENSG00000013583	HEBP1	chr12
6913	ENSG00000013588.7	ENSG00000013588	GPRC5A	chr12
3441	ENSG00000013619.13	ENSG00000013619	MAMLD1	chrX
7198	ENSG00000013725.14	ENSG00000013725	CD6	chr11
10082	ENSG00000013810.18	ENSG00000013810	TACC3	chr4
15972	ENSG00000014123.9	ENSG00000014123	UFL1	chr6
14349	ENSG00000014138.8	ENSG00000014138	POLA2	chr11
15152	ENSG00000014164.6	ENSG00000014164	ZC3H3	chr8
6596	ENSG00000014216.15	ENSG00000014216	CAPN1	chr11
25517	ENSG00000014257.15	ENSG00000014257	ACPP	chr3
1156	ENSG00000014641.17	ENSG00000014641	MDH1	chr2
16063	ENSG00000014824.13	ENSG00000014824	SLC30A9	chr4
2348	ENSG00000014914.20	ENSG00000014914	MTMR11	chr1
6091	ENSG00000014919.12	ENSG00000014919	COX15	chr10
14365	ENSG00000015133.18	ENSG00000015133	CCDC88C	chr14
12691	ENSG00000015153.14	ENSG00000015153	YAF2	chr12
5383	ENSG00000015171.19	ENSG00000015171	ZMYND11	chr10
3004	ENSG00000015285.10	ENSG00000015285	WAS	chrX
32617	ENSG00000015413.9	ENSG00000015413	DPEP1	chr16
3907	ENSG00000015475.18	ENSG00000015475	BID	chr22
4683	ENSG00000015479.18	ENSG00000015479	MATR3	chr5
7128	ENSG00000015520.14	ENSG00000015520	NPC1L1	chr7
4632	ENSG00000015532.9	ENSG00000015532	XYLT2	chr17
84280	ENSG00000015592.16	ENSG00000015592	STMN4	chr8
10647	ENSG00000015676.17	ENSG00000015676	NUDCD3	chr7
28146	ENSG00000016082.14	ENSG00000016082	ISL1	chr5
8406	ENSG00000016391.10	ENSG00000016391	CHDH	chr3
8700	ENSG00000016402.13	ENSG00000016402	IL20RA	chr6
309879	ENSG00000016490.15	ENSG00000016490	CLCA1	chr1
106889	ENSG00000016602.9	ENSG00000016602	CLCA4	chr1
6100	ENSG00000016864.18	ENSG00000016864	GLT8D1	chr3
9323	ENSG00000017260.19	ENSG00000017260	ATP2C1	chr3
12660	ENSG00000017427.15	ENSG00000017427	IGF1	chr12
6263	ENSG00000017483.14	ENSG00000017483	SLC38A5	chrX
13584	ENSG00000017797.12	ENSG00000017797	RALBP1	chr18
6018	ENSG00000018189.12	ENSG00000018189	RUFY3	chr4
1684	ENSG00000018236.14	ENSG00000018236	CNTN1	chr12
1178	ENSG00000018280.16	ENSG00000018280	SLC11A1	chr2
1958	ENSG00000018408.14	ENSG00000018408	WWTR1	chr3
9443	ENSG00000018510.13	ENSG00000018510	AGPS	chr2
8097	ENSG00000018610.13	ENSG00000018610	CXorf56	chrX
1285	ENSG00000018625.14	ENSG00000018625	ATP1A2	chr1
4213	ENSG00000018699.11	ENSG00000018699	TTC27	chr2
12405	ENSG00000018869.16	ENSG00000018869	ZNF582	chr19
11998	ENSG00000019102.11	ENSG00000019102	VSIG2	chr11
9892	ENSG00000019144.18	ENSG00000019144	PHLDB1	chr11
13104	ENSG00000019169.10	ENSG00000019169	MARCO	chr2
219439	ENSG00000019186.9	ENSG00000019186	CYP24A1	chr20
3237	ENSG00000019485.13	ENSG00000019485	PRDM11	chr11
34452	ENSG00000019505.7	ENSG00000019505	SYT13	chr11
3702	ENSG00000019549.9	ENSG00000019549	SNAI2	chr8
10663	ENSG00000019582.14	ENSG00000019582	CD74	chr5
6963	ENSG00000019991.15	ENSG00000019991	HGF	chr7
15217	ENSG00000019995.6	ENSG00000019995	ZRANB1	chr10
4442	ENSG00000020129.15	ENSG00000020129	NCDN	chr1
533	ENSG00000020181.17	ENSG00000020181	ADGRA2	chr8
3839	ENSG00000020256.19	ENSG00000020256	ZFP64	chr20
14294	ENSG00000020426.10	ENSG00000020426	MNAT1	chr14
13146	ENSG00000020577.13	ENSG00000020577	SAMD4A	chr14
12791	ENSG00000020633.18	ENSG00000020633	RUNX3	chr1
9418	ENSG00000020922.12	ENSG00000020922	MRE11	chr11
1667	ENSG00000021300.13	ENSG00000021300	PLEKHB1	chr11
9185	ENSG00000021355.12	ENSG00000021355	SERPINB1	chr6
422816	ENSG00000021461.16	ENSG00000021461	CYP3A43	chr7
100129	ENSG00000021488.12	ENSG00000021488	SLC7A9	chr19
11804	ENSG00000021574.11	ENSG00000021574	SPAST	chr2
406	ENSG00000021645.18	ENSG00000021645	NRXN3	chr14
992	ENSG00000021762.19	ENSG00000021762	OSBPL5	chr11
15059	ENSG00000021776.10	ENSG00000021776	AQR	chr15
4581	ENSG00000021826.14	ENSG00000021826	CPS1	chr2
430133	ENSG00000021852.12	ENSG00000021852	C8B	chr1
1332	ENSG00000022267.16	ENSG00000022267	FHL1	chrX
6014	ENSG00000022277.12	ENSG00000022277	RTF2	chr20
101642	ENSG00000022355.16	ENSG00000022355	GABRA1	chr5
16610	ENSG00000022556.15	ENSG00000022556	NLRP2	chr19
12388	ENSG00000022567.9	ENSG00000022567	SLC45A4	chr8
14124	ENSG00000022840.15	ENSG00000022840	RNF10	chr12
12646	ENSG00000022976.15	ENSG00000022976	ZNF839	chr14
2745	ENSG00000023041.11	ENSG00000023041	ZDHHC6	chr10
5652	ENSG00000023171.16	ENSG00000023171	GRAMD1B	chr11
12025	ENSG00000023191.16	ENSG00000023191	RNH1	chr11
2063	ENSG00000023228.13	ENSG00000023228	NDUFS1	chr2
5389	ENSG00000023287.12	ENSG00000023287	RB1CC1	chr8
8296	ENSG00000023318.7	ENSG00000023318	ERP44	chr9
626	ENSG00000023330.14	ENSG00000023330	ALAS1	chr3
7489	ENSG00000023445.13	ENSG00000023445	BIRC3	chr11
13005	ENSG00000023516.8	ENSG00000023516	AKAP11	chr13
1174	ENSG00000023572.8	ENSG00000023572	GLRX2	chr1
